ID Salary Experience Employed Education Gender Department
155 36769 4 4 8 M 3
180 36694 1 6 4 M 2
174 54870 3 20 6 F 3
165 53425 0 25 6 M 3
76 31783 4 21 5 M 1
101 29271 6 5 1 M 1
163 43797 9 6 4 M 2
19 36487 5 6 2 M 4
153 70789 2 25 12 M 4
133 49097 5 15 6 M 3
104 39218 3 9 6 F 4
112 39109 9 19 4 M 3
47 68610 0 27 12 F 4
40 26578 6 0 2 F 2
92 29575 3 1 2 F 4
32 48695 19 6 8 M 4
34 28985 1 0 4 F 1
172 28436 1 0 4 F 1
94 46071 3 20 4 M 4
93 65374 0 27 12 F 4
27 53234 0 25 6 M 3
114 34519 4 5 4 M 4
33 34987 6 9 2 F 4
107 68312 2 25 12 M 4
141 32233 1 0 7 M 1
67 24520 11 3 3 M 1
24 29876 0 2 3 F 2
173 37995 4 6 4 M 4
123 69133 3 22 10 M 4
146 32371 3 15 9 F 1
72 31977 7 18 9 M 1
43 56326 3 12 8 M 2
134 36471 1 6 4 M 2
28 51698 6 18 6 M 4
168 38242 4 21 5 M 1
105 36399 6 6 4 F 4
2 46184 3 20 4 M 4
11 23654 0 0 0 F 3
22 34632 4 5 4 M 4
162 29999 0 2 3 F 2
97 34756 5 7 4 F 4
181 56449 3 12 8 M 2
106 35367 6 3 6 F 2
179 47727 5 15 6 M 3
157 38851 5 6 2 M 4
15 68425 2 25 12 M 4
78 51818 19 6 8 M 4
53 29671 1 5 0 M 4
110 39551 6 18 5 F 1
13 36512 6 6 4 F 4
