ID Salary Experience Employed Education Gender Department
3 32782 1 0 7 M 1
159 30979 11 3 3 M 1
74 54821 6 18 6 M 4
166 54062 6 18 6 M 4
21 31528 11 3 3 M 1
71 44658 9 6 4 M 2
132 26478 6 0 2 F 2
40 26578 6 0 2 F 2
56 37354 2 6 6 M 4
20 37548 9 19 4 M 3
161 48575 5 14 6 F 4
121 41612 16 22 7 M 1
82 55550 3 20 6 F 3
8 32920 3 15 9 F 1
83 42866 6 9 5 F 4
113 31251 11 3 3 M 1
118 38708 7 18 9 M 1
80 21977 1 0 4 F 1
78 51818 19 6 8 M 4
43 56326 3 12 8 M 2
75 34881 16 22 7 M 1
150 41695 3 9 6 F 4
29 41889 16 22 7 M 1
1 65487 0 27 12 F 4
7 26548 1 5 0 M 4
58 42454 3 9 6 F 4
41 47536 5 15 6 M 3
64 32820 6 18 5 F 1
46 26452 3 1 2 F 4
111 36374 5 6 2 M 4
52 38610 2 8 2 F 4
65 39610 5 6 2 M 4
97 34756 5 7 4 F 4
124 48582 19 6 8 M 4
48 49307 3 20 4 M 4
24 29876 0 2 3 F 2
153 70789 2 25 12 M 4
158 37739 9 19 4 M 3
164 38436 7 18 9 M 1
101 29271 6 5 1 M 1
177 36554 4 9 4 F 2
26 38985 7 18 9 M 1
35 35631 4 6 4 M 4
54 25912 3 15 9 F 1
84 44378 4 9 6 M 4
126 28708 1 0 4 F 1
31 69246 3 22 10 M 4
165 53425 0 25 6 M 3
33 34987 6 9 2 F 4
66 38419 9 19 4 M 3
