ID Salary Experience Employed Education Gender Department
65 39610 5 6 2 M 4
100 32643 3 15 9 F 1
127 35518 4 6 4 M 4
145 28912 1 5 0 M 4
103 25215 0 0 0 F 3
55 22540 6 5 1 M 1
125 34874 6 9 2 F 4
182 31616 6 7 5 F 3
8 32920 3 15 9 F 1
149 23845 0 0 0 F 3
67 24520 11 3 3 M 1
116 29776 0 2 3 F 2
161 48575 5 14 6 F 4
74 54821 6 18 6 M 4
20 37548 9 19 4 M 3
34 28985 1 0 4 F 1
131 36331 4 9 4 F 2
138 26339 3 1 2 F 4
111 36374 5 6 2 M 4
54 25912 3 15 9 F 1
41 47536 5 15 6 M 3
10 34231 2 6 6 M 4
99 26435 1 5 0 M 4
70 30860 0 2 3 F 2
107 68312 2 25 12 M 4
88 37555 1 6 4 M 2
105 36399 6 6 4 F 4
121 41612 16 22 7 M 1
22 34632 4 5 4 M 4
139 67851 0 27 12 F 4
109 38139 4 4 8 M 3
76 31783 4 21 5 M 1
167 41340 16 22 7 M 1
176 43619 4 9 6 M 4
53 29671 1 5 0 M 4
137 24472 2 6 0 F 1
150 41695 3 9 6 F 4
21 31528 11 3 3 M 1
180 36694 1 6 4 M 2
80 21977 1 0 4 F 1
45 24749 2 6 0 F 1
123 69133 3 22 10 M 4
174 54870 3 20 6 F 3
108 35368 5 9 4 F 2
11 23654 0 0 0 F 3
58 42454 3 9 6 F 4
93 65374 0 27 12 F 4
18 39828 6 18 5 F 1
23 46211 5 14 6 F 4
62 36452 5 9 4 F 2
