ID Salary Experience Employed Education Gender Department
127 35518 4 6 4 M 4
71 44658 9 6 4 M 2
56 37354 2 6 6 M 4
35 35631 4 6 4 M 4
138 26339 3 1 2 F 4
136 32986 6 7 5 F 3
42 36571 1 6 4 M 2
67 24520 11 3 3 M 1
51 37992 5 7 4 F 4
40 26578 6 0 2 F 2
123 69133 3 22 10 M 4
39 36431 4 9 4 F 2
11 23654 0 0 0 F 3
116 29776 0 2 3 F 2
15 68425 2 25 12 M 4
180 36694 1 6 4 M 2
134 36471 1 6 4 M 2
93 65374 0 27 12 F 4
90 32296 6 7 5 F 3
182 31616 6 7 5 F 3
62 36452 5 9 4 F 2
9 29548 6 5 1 M 1
129 39630 6 9 5 F 4
176 43619 4 9 6 M 4
41 47536 5 15 6 M 3
48 49307 3 20 4 M 4
174 54870 3 20 6 F 3
89 57310 3 12 8 M 2
7 26548 1 5 0 M 4
124 48582 19 6 8 M 4
86 27562 6 0 2 F 2
98 35374 2 8 2 F 4
18 39828 6 18 5 F 1
80 21977 1 0 4 F 1
120 51585 6 18 6 M 4
161 48575 5 14 6 F 4
128 56240 3 20 6 F 3
58 42454 3 9 6 F 4
8 32920 3 15 9 F 1
5 34869 5 7 4 F 4
181 56449 3 12 8 M 2
20 37548 9 19 4 M 3
133 49097 5 15 6 M 3
146 32371 3 15 9 F 1
96 54786 5 12 8 F 4
159 30979 11 3 3 M 1
85 37415 4 9 4 F 2
167 41340 16 22 7 M 1
30 38791 4 21 5 M 1
57 24525 0 0 0 F 3
