ID Salary Experience Employed Education Gender Department
151 38876 6 6 4 F 4
100 32643 3 15 9 F 1
39 36431 4 9 4 F 2
119 54795 0 25 6 M 3
86 27562 6 0 2 F 2
59 39635 6 6 4 F 4
22 34632 4 5 4 M 4
32 48695 19 6 8 M 4
27 53234 0 25 6 M 3
48 49307 3 20 4 M 4
66 38419 9 19 4 M 3
29 41889 16 22 7 M 1
33 34987 6 9 2 F 4
64 32820 6 18 5 F 1
109 38139 4 4 8 M 3
144 37851 2 8 2 F 4
23 46211 5 14 6 F 4
7 26548 1 5 0 M 4
92 29575 3 1 2 F 4
104 39218 3 9 6 F 4
98 35374 2 8 2 F 4
90 32296 6 7 5 F 3
56 37354 2 6 6 M 4
149 23845 0 0 0 F 3
163 43797 9 6 4 M 2
155 36769 4 4 8 M 3
20 37548 9 19 4 M 3
47 68610 0 27 12 F 4
116 29776 0 2 3 F 2
179 47727 5 15 6 M 3
30 38791 4 21 5 M 1
85 37415 4 9 4 F 2
147 28999 6 5 1 M 1
93 65374 0 27 12 F 4
57 24525 0 0 0 F 3
160 36996 4 5 4 M 4
71 44658 9 6 4 M 2
167 41340 16 22 7 M 1
9 29548 6 5 1 M 1
35 35631 4 6 4 M 4
129 39630 6 9 5 F 4
182 31616 6 7 5 F 3
1 65487 0 27 12 F 4
171 37351 6 9 2 F 4
142 57263 5 12 8 F 4
141 32233 1 0 7 M 1
106 35367 6 3 6 F 2
95 32505 1 0 7 M 1
124 48582 19 6 8 M 4
176 43619 4 9 6 M 4
