ID Salary Experience Employed Education Gender Department
111 36374 5 6 2 M 4
66 38419 9 19 4 M 3
122 38514 4 21 5 M 1
150 41695 3 9 6 F 4
76 31783 4 21 5 M 1
119 54795 0 25 6 M 3
142 57263 5 12 8 F 4
67 24520 11 3 3 M 1
34 28985 1 0 4 F 1
70 30860 0 2 3 F 2
50 58022 5 12 8 F 4
17 36578 4 4 8 M 3
81 38754 4 6 4 M 4
144 37851 2 8 2 F 4
134 36471 1 6 4 M 2
153 70789 2 25 12 M 4
110 39551 6 18 5 F 1
180 36694 1 6 4 M 2
73 54105 0 25 6 M 3
38 41255 4 9 6 M 4
33 34987 6 9 2 F 4
75 34881 16 22 7 M 1
117 43574 9 6 4 M 2
85 37415 4 9 4 F 2
178 26701 6 0 2 F 2
181 56449 3 12 8 M 2
35 35631 4 6 4 M 4
170 51059 19 6 8 M 4
37 39743 6 9 5 F 4
28 51698 6 18 6 M 4
179 47727 5 15 6 M 3
25 43674 9 6 4 M 2
156 39279 6 18 5 F 1
155 36769 4 4 8 M 3
78 51818 19 6 8 M 4
20 37548 9 19 4 M 3
53 29671 1 5 0 M 4
121 41612 16 22 7 M 1
137 24472 2 6 0 F 1
141 32233 1 0 7 M 1
77 72369 3 22 10 M 4
107 68312 2 25 12 M 4
88 37555 1 6 4 M 2
14 35467 6 3 6 F 2
13 36512 6 6 4 F 4
71 44658 9 6 4 M 2
135 56226 3 12 8 M 2
127 35518 4 6 4 M 4
161 48575 5 14 6 F 4
104 39218 3 9 6 F 4
