ID Salary Experience Employed Education Gender Department
21 31528 11 3 3 M 1
49 25774 1 0 7 M 1
91 17741 2 6 0 F 1
175 42107 6 9 5 F 4
141 32233 1 0 7 M 1
108 35368 5 9 4 F 2
125 34874 6 9 2 F 4
92 29575 3 1 2 F 4
35 35631 4 6 4 M 4
113 31251 11 3 3 M 1
7 26548 1 5 0 M 4
74 54821 6 18 6 M 4
169 71610 3 22 10 M 4
18 39828 6 18 5 F 1
156 39279 6 18 5 F 1
41 47536 5 15 6 M 3
61 71548 2 25 12 M 4
87 48407 5 15 6 M 3
98 35374 2 8 2 F 4
170 51059 19 6 8 M 4
139 67851 0 27 12 F 4
103 25215 0 0 0 F 3
183 24200 2 6 0 F 1
2 46184 3 20 4 M 4
58 42454 3 9 6 F 4
112 39109 9 19 4 M 3
38 41255 4 9 6 M 4
115 46098 5 14 6 F 4
54 25912 3 15 9 F 1
59 39635 6 6 4 F 4
178 26701 6 0 2 F 2
36 54679 3 20 6 F 3
47 68610 0 27 12 F 4
77 72369 3 22 10 M 4
52 38610 2 8 2 F 4
117 43574 9 6 4 M 2
15 68425 2 25 12 M 4
105 36399 6 6 4 F 4
127 35518 4 6 4 M 4
158 37739 9 19 4 M 3
57 24525 0 0 0 F 3
29 41889 16 22 7 M 1
172 28436 1 0 4 F 1
76 31783 4 21 5 M 1
89 57310 3 12 8 M 2
84 44378 4 9 6 M 4
68 37755 4 5 4 M 4
126 28708 1 0 4 F 1
142 57263 5 12 8 F 4
106 35367 6 3 6 F 2
