ID Salary Experience Employed Education Gender Department
75 34881 16 22 7 M 1
13 36512 6 6 4 F 4
12 39331 3 9 6 F 4
106 35367 6 3 6 F 2
79 38110 6 9 2 F 4
69 49334 5 14 6 F 4
20 37548 9 19 4 M 3
2 46184 3 20 4 M 4
28 51698 6 18 6 M 4
125 34874 6 9 2 F 4
1 65487 0 27 12 F 4
6 35487 2 8 2 F 4
73 54105 0 25 6 M 3
109 38139 4 4 8 M 3
96 54786 5 12 8 F 4
17 36578 4 4 8 M 3
34 28985 1 0 4 F 1
24 29876 0 2 3 F 2
103 25215 0 0 0 F 3
160 36996 4 5 4 M 4
94 46071 3 20 4 M 4
162 29999 0 2 3 F 2
65 39610 5 6 2 M 4
115 46098 5 14 6 F 4
112 39109 9 19 4 M 3
47 68610 0 27 12 F 4
33 34987 6 9 2 F 4
156 39279 6 18 5 F 1
141 32233 1 0 7 M 1
5 34869 5 7 4 F 4
38 41255 4 9 6 M 4
152 35590 6 3 6 F 2
66 38419 9 19 4 M 3
74 54821 6 18 6 M 4
82 55550 3 20 6 F 3
137 24472 2 6 0 F 1
164 38436 7 18 9 M 1
165 53425 0 25 6 M 3
21 31528 11 3 3 M 1
100 32643 3 15 9 F 1
120 51585 6 18 6 M 4
107 68312 2 25 12 M 4
148 36595 2 6 6 M 4
149 23845 0 0 0 F 3
92 29575 3 1 2 F 4
7 26548 1 5 0 M 4
3 32782 1 0 7 M 1
180 36694 1 6 4 M 2
63 37449 4 4 8 M 3
10 34231 2 6 6 M 4
