ID Salary Experience Employed Education Gender Department
6 35487 2 8 2 F 4
91 17741 2 6 0 F 1
178 26701 6 0 2 F 2
169 71610 3 22 10 M 4
125 34874 6 9 2 F 4
162 29999 0 2 3 F 2
156 39279 6 18 5 F 1
43 56326 3 12 8 M 2
44 31425 6 7 5 F 3
142 57263 5 12 8 F 4
114 34519 4 5 4 M 4
62 36452 5 9 4 F 2
63 37449 4 4 8 M 3
166 54062 6 18 6 M 4
177 36554 4 9 4 F 2
140 48548 3 20 4 M 4
81 38754 4 6 4 M 4
120 51585 6 18 6 M 4
21 31528 11 3 3 M 1
103 25215 0 0 0 F 3
69 49334 5 14 6 F 4
98 35374 2 8 2 F 4
23 46211 5 14 6 F 4
181 56449 3 12 8 M 2
161 48575 5 14 6 F 4
26 38985 7 18 9 M 1
45 24749 2 6 0 F 1
119 54795 0 25 6 M 3
180 36694 1 6 4 M 2
32 48695 19 6 8 M 4
29 41889 16 22 7 M 1
3 32782 1 0 7 M 1
9 29548 6 5 1 M 1
50 58022 5 12 8 F 4
159 30979 11 3 3 M 1
75 34881 16 22 7 M 1
17 36578 4 4 8 M 3
56 37354 2 6 6 M 4
25 43674 9 6 4 M 2
55 22540 6 5 1 M 1
94 46071 3 20 4 M 4
106 35367 6 3 6 F 2
149 23845 0 0 0 F 3
74 54821 6 18 6 M 4
60 36451 6 3 6 F 2
4 54899 5 12 8 F 4
72 31977 7 18 9 M 1
34 28985 1 0 4 F 1
19 36487 5 6 2 M 4
127 35518 4 6 4 M 4
