ID Salary Experience Employed Education Gender Department
23 46211 5 14 6 F 4
181 56449 3 12 8 M 2
179 47727 5 15 6 M 3
46 26452 3 1 2 F 4
82 55550 3 20 6 F 3
60 36451 6 3 6 F 2
138 26339 3 1 2 F 4
105 36399 6 6 4 F 4
127 35518 4 6 4 M 4
123 69133 3 22 10 M 4
1 65487 0 27 12 F 4
45 24749 2 6 0 F 1
173 37995 4 6 4 M 4
15 68425 2 25 12 M 4
182 31616 6 7 5 F 3
126 28708 1 0 4 F 1
9 29548 6 5 1 M 1
8 32920 3 15 9 F 1
81 38754 4 6 4 M 4
86 27562 6 0 2 F 2
3 32782 1 0 7 M 1
159 30979 11 3 3 M 1
153 70789 2 25 12 M 4
119 54795 0 25 6 M 3
118 38708 7 18 9 M 1
94 46071 3 20 4 M 4
131 36331 4 9 4 F 2
18 39828 6 18 5 F 1
141 32233 1 0 7 M 1
47 68610 0 27 12 F 4
69 49334 5 14 6 F 4
24 29876 0 2 3 F 2
41 47536 5 15 6 M 3
83 42866 6 9 5 F 4
148 36595 2 6 6 M 4
71 44658 9 6 4 M 2
139 67851 0 27 12 F 4
36 54679 3 20 6 F 3
150 41695 3 9 6 F 4
91 17741 2 6 0 F 1
28 51698 6 18 6 M 4
10 34231 2 6 6 M 4
157 38851 5 6 2 M 4
125 34874 6 9 2 F 4
65 39610 5 6 2 M 4
122 38514 4 21 5 M 1
166 54062 6 18 6 M 4
55 22540 6 5 1 M 1
103 25215 0 0 0 F 3
130 41142 4 9 6 M 4
