ID Salary Experience Employed Education Gender Department
95 32505 1 0 7 M 1
157 38851 5 6 2 M 4
76 31783 4 21 5 M 1
34 28985 1 0 4 F 1
26 38985 7 18 9 M 1
67 24520 11 3 3 M 1
66 38419 9 19 4 M 3
116 29776 0 2 3 F 2
114 34519 4 5 4 M 4
64 32820 6 18 5 F 1
45 24749 2 6 0 F 1
174 54870 3 20 6 F 3
40 26578 6 0 2 F 2
169 71610 3 22 10 M 4
156 39279 6 18 5 F 1
86 27562 6 0 2 F 2
12 39331 3 9 6 F 4
21 31528 11 3 3 M 1
74 54821 6 18 6 M 4
65 39610 5 6 2 M 4
147 28999 6 5 1 M 1
105 36399 6 6 4 F 4
23 46211 5 14 6 F 4
154 35591 5 9 4 F 2
25 43674 9 6 4 M 2
103 25215 0 0 0 F 3
139 67851 0 27 12 F 4
176 43619 4 9 6 M 4
144 37851 2 8 2 F 4
167 41340 16 22 7 M 1
39 36431 4 9 4 F 2
168 38242 4 21 5 M 1
120 51585 6 18 6 M 4
51 37992 5 7 4 F 4
17 36578 4 4 8 M 3
180 36694 1 6 4 M 2
171 37351 6 9 2 F 4
182 31616 6 7 5 F 3
9 29548 6 5 1 M 1
31 69246 3 22 10 M 4
165 53425 0 25 6 M 3
75 34881 16 22 7 M 1
57 24525 0 0 0 F 3
96 54786 5 12 8 F 4
160 36996 4 5 4 M 4
70 30860 0 2 3 F 2
33 34987 6 9 2 F 4
71 44658 9 6 4 M 2
128 56240 3 20 6 F 3
123 69133 3 22 10 M 4
