ID Salary Experience Employed Education Gender Department
52 38610 2 8 2 F 4
42 36571 1 6 4 M 2
97 34756 5 7 4 F 4
177 36554 4 9 4 F 2
56 37354 2 6 6 M 4
129 39630 6 9 5 F 4
63 37449 4 4 8 M 3
87 48407 5 15 6 M 3
131 36331 4 9 4 F 2
184 28816 3 1 2 F 4
155 36769 4 4 8 M 3
1 65487 0 27 12 F 4
26 38985 7 18 9 M 1
141 32233 1 0 7 M 1
59 39635 6 6 4 F 4
78 51818 19 6 8 M 4
158 37739 9 19 4 M 3
55 22540 6 5 1 M 1
19 36487 5 6 2 M 4
108 35368 5 9 4 F 2
15 68425 2 25 12 M 4
53 29671 1 5 0 M 4
165 53425 0 25 6 M 3
54 25912 3 15 9 F 1
138 26339 3 1 2 F 4
77 72369 3 22 10 M 4
90 32296 6 7 5 F 3
3 32782 1 0 7 M 1
28 51698 6 18 6 M 4
46 26452 3 1 2 F 4
127 35518 4 6 4 M 4
73 54105 0 25 6 M 3
123 69133 3 22 10 M 4
39 36431 4 9 4 F 2
48 49307 3 20 4 M 4
135 56226 3 12 8 M 2
61 71548 2 25 12 M 4
178 26701 6 0 2 F 2
51 37992 5 7 4 F 4
92 29575 3 1 2 F 4
25 43674 9 6 4 M 2
62 36452 5 9 4 F 2
183 24200 2 6 0 F 1
149 23845 0 0 0 F 3
76 31783 4 21 5 M 1
150 41695 3 9 6 F 4
126 28708 1 0 4 F 1
41 47536 5 15 6 M 3
160 36996 4 5 4 M 4
21 31528 11 3 3 M 1
