ID Salary Experience Employed Education Gender Department
129 39630 6 9 5 F 4
43 56326 3 12 8 M 2
108 35368 5 9 4 F 2
178 26701 6 0 2 F 2
125 34874 6 9 2 F 4
65 39610 5 6 2 M 4
119 54795 0 25 6 M 3
97 34756 5 7 4 F 4
127 35518 4 6 4 M 4
82 55550 3 20 6 F 3
154 35591 5 9 4 F 2
48 49307 3 20 4 M 4
134 36471 1 6 4 M 2
161 48575 5 14 6 F 4
2 46184 3 20 4 M 4
44 31425 6 7 5 F 3
136 32986 6 7 5 F 3
165 53425 0 25 6 M 3
116 29776 0 2 3 F 2
102 34118 2 6 6 M 4
60 36451 6 3 6 F 2
11 23654 0 0 0 F 3
24 29876 0 2 3 F 2
18 39828 6 18 5 F 1
20 37548 9 19 4 M 3
84 44378 4 9 6 M 4
152 35590 6 3 6 F 2
128 56240 3 20 6 F 3
42 36571 1 6 4 M 2
167 41340 16 22 7 M 1
66 38419 9 19 4 M 3
149 23845 0 0 0 F 3
73 54105 0 25 6 M 3
91 17741 2 6 0 F 1
103 25215 0 0 0 F 3
4 54899 5 12 8 F 4
94 46071 3 20 4 M 4
90 32296 6 7 5 F 3
166 54062 6 18 6 M 4
162 29999 0 2 3 F 2
69 49334 5 14 6 F 4
64 32820 6 18 5 F 1
100 32643 3 15 9 F 1
28 51698 6 18 6 M 4
51 37992 5 7 4 F 4
106 35367 6 3 6 F 2
81 38754 4 6 4 M 4
113 31251 11 3 3 M 1
169 71610 3 22 10 M 4
14 35467 6 3 6 F 2
