ID Salary Experience Employed Education Gender Department
68 37755 4 5 4 M 4
55 22540 6 5 1 M 1
32 48695 19 6 8 M 4
46 26452 3 1 2 F 4
40 26578 6 0 2 F 2
147 28999 6 5 1 M 1
93 65374 0 27 12 F 4
80 21977 1 0 4 F 1
71 44658 9 6 4 M 2
124 48582 19 6 8 M 4
181 56449 3 12 8 M 2
99 26435 1 5 0 M 4
57 24525 0 0 0 F 3
122 38514 4 21 5 M 1
56 37354 2 6 6 M 4
123 69133 3 22 10 M 4
112 39109 9 19 4 M 3
141 32233 1 0 7 M 1
145 28912 1 5 0 M 4
158 37739 9 19 4 M 3
91 17741 2 6 0 F 1
52 38610 2 8 2 F 4
121 41612 16 22 7 M 1
104 39218 3 9 6 F 4
17 36578 4 4 8 M 3
148 36595 2 6 6 M 4
149 23845 0 0 0 F 3
66 38419 9 19 4 M 3
61 71548 2 25 12 M 4
137 24472 2 6 0 F 1
167 41340 16 22 7 M 1
136 32986 6 7 5 F 3
21 31528 11 3 3 M 1
39 36431 4 9 4 F 2
174 54870 3 20 6 F 3
132 26478 6 0 2 F 2
120 51585 6 18 6 M 4
85 37415 4 9 4 F 2
152 35590 6 3 6 F 2
45 24749 2 6 0 F 1
51 37992 5 7 4 F 4
59 39635 6 6 4 F 4
74 54821 6 18 6 M 4
19 36487 5 6 2 M 4
79 38110 6 9 2 F 4
63 37449 4 4 8 M 3
5 34869 5 7 4 F 4
88 37555 1 6 4 M 2
60 36451 6 3 6 F 2
14 35467 6 3 6 F 2
