ID Salary Experience Employed Education Gender Department
147 28999 6 5 1 M 1
25 43674 9 6 4 M 2
160 36996 4 5 4 M 4
131 36331 4 9 4 F 2
64 32820 6 18 5 F 1
149 23845 0 0 0 F 3
103 25215 0 0 0 F 3
153 70789 2 25 12 M 4
126 28708 1 0 4 F 1
164 38436 7 18 9 M 1
111 36374 5 6 2 M 4
52 38610 2 8 2 F 4
45 24749 2 6 0 F 1
161 48575 5 14 6 F 4
11 23654 0 0 0 F 3
91 17741 2 6 0 F 1
43 56326 3 12 8 M 2
123 69133 3 22 10 M 4
44 31425 6 7 5 F 3
128 56240 3 20 6 F 3
157 38851 5 6 2 M 4
39 36431 4 9 4 F 2
178 26701 6 0 2 F 2
171 37351 6 9 2 F 4
121 41612 16 22 7 M 1
60 36451 6 3 6 F 2
148 36595 2 6 6 M 4
95 32505 1 0 7 M 1
19 36487 5 6 2 M 4
41 47536 5 15 6 M 3
102 34118 2 6 6 M 4
75 34881 16 22 7 M 1
105 36399 6 6 4 F 4
42 36571 1 6 4 M 2
154 35591 5 9 4 F 2
31 69246 3 22 10 M 4
12 39331 3 9 6 F 4
29 41889 16 22 7 M 1
179 47727 5 15 6 M 3
172 28436 1 0 4 F 1
61 71548 2 25 12 M 4
1 65487 0 27 12 F 4
32 48695 19 6 8 M 4
137 24472 2 6 0 F 1
100 32643 3 15 9 F 1
40 26578 6 0 2 F 2
57 24525 0 0 0 F 3
62 36452 5 9 4 F 2
63 37449 4 4 8 M 3
5 34869 5 7 4 F 4
