ID Salary Experience Employed Education Gender Department
122 38514 4 21 5 M 1
169 71610 3 22 10 M 4
30 38791 4 21 5 M 1
34 28985 1 0 4 F 1
68 37755 4 5 4 M 4
109 38139 4 4 8 M 3
127 35518 4 6 4 M 4
97 34756 5 7 4 F 4
6 35487 2 8 2 F 4
157 38851 5 6 2 M 4
79 38110 6 9 2 F 4
60 36451 6 3 6 F 2
16 35468 5 9 4 F 2
40 26578 6 0 2 F 2
43 56326 3 12 8 M 2
96 54786 5 12 8 F 4
64 32820 6 18 5 F 1
128 56240 3 20 6 F 3
36 54679 3 20 6 F 3
35 35631 4 6 4 M 4
103 25215 0 0 0 F 3
173 37995 4 6 4 M 4
61 71548 2 25 12 M 4
51 37992 5 7 4 F 4
162 29999 0 2 3 F 2
44 31425 6 7 5 F 3
50 58022 5 12 8 F 4
89 57310 3 12 8 M 2
12 39331 3 9 6 F 4
37 39743 6 9 5 F 4
151 38876 6 6 4 F 4
114 34519 4 5 4 M 4
62 36452 5 9 4 F 2
101 29271 6 5 1 M 1
7 26548 1 5 0 M 4
179 47727 5 15 6 M 3
136 32986 6 7 5 F 3
112 39109 9 19 4 M 3
144 37851 2 8 2 F 4
78 51818 19 6 8 M 4
69 49334 5 14 6 F 4
54 25912 3 15 9 F 1
2 46184 3 20 4 M 4
124 48582 19 6 8 M 4
59 39635 6 6 4 F 4
55 22540 6 5 1 M 1
66 38419 9 19 4 M 3
125 34874 6 9 2 F 4
154 35591 5 9 4 F 2
41 47536 5 15 6 M 3
