ID Salary Experience Employed Education Gender Department
49 25774 1 0 7 M 1
35 35631 4 6 4 M 4
63 37449 4 4 8 M 3
135 56226 3 12 8 M 2
67 24520 11 3 3 M 1
140 48548 3 20 4 M 4
14 35467 6 3 6 F 2
13 36512 6 6 4 F 4
144 37851 2 8 2 F 4
95 32505 1 0 7 M 1
159 30979 11 3 3 M 1
98 35374 2 8 2 F 4
176 43619 4 9 6 M 4
117 43574 9 6 4 M 2
19 36487 5 6 2 M 4
184 28816 3 1 2 F 4
165 53425 0 25 6 M 3
108 35368 5 9 4 F 2
153 70789 2 25 12 M 4
85 37415 4 9 4 F 2
58 42454 3 9 6 F 4
152 35590 6 3 6 F 2
170 51059 19 6 8 M 4
131 36331 4 9 4 F 2
16 35468 5 9 4 F 2
112 39109 9 19 4 M 3
102 34118 2 6 6 M 4
111 36374 5 6 2 M 4
177 36554 4 9 4 F 2
56 37354 2 6 6 M 4
171 37351 6 9 2 F 4
121 41612 16 22 7 M 1
97 34756 5 7 4 F 4
163 43797 9 6 4 M 2
34 28985 1 0 4 F 1
51 37992 5 7 4 F 4
65 39610 5 6 2 M 4
24 29876 0 2 3 F 2
23 46211 5 14 6 F 4
90 32296 6 7 5 F 3
161 48575 5 14 6 F 4
30 38791 4 21 5 M 1
122 38514 4 21 5 M 1
82 55550 3 20 6 F 3
141 32233 1 0 7 M 1
41 47536 5 15 6 M 3
47 68610 0 27 12 F 4
124 48582 19 6 8 M 4
25 43674 9 6 4 M 2
166 54062 6 18 6 M 4
