ID Salary Experience Employed Education Gender Department
166 54062 6 18 6 M 4
29 41889 16 22 7 M 1
99 26435 1 5 0 M 4
63 37449 4 4 8 M 3
178 26701 6 0 2 F 2
64 32820 6 18 5 F 1
77 72369 3 22 10 M 4
139 67851 0 27 12 F 4
142 57263 5 12 8 F 4
103 25215 0 0 0 F 3
78 51818 19 6 8 M 4
147 28999 6 5 1 M 1
62 36452 5 9 4 F 2
114 34519 4 5 4 M 4
152 35590 6 3 6 F 2
27 53234 0 25 6 M 3
25 43674 9 6 4 M 2
113 31251 11 3 3 M 1
144 37851 2 8 2 F 4
169 71610 3 22 10 M 4
1 65487 0 27 12 F 4
23 46211 5 14 6 F 4
137 24472 2 6 0 F 1
59 39635 6 6 4 F 4
156 39279 6 18 5 F 1
19 36487 5 6 2 M 4
138 26339 3 1 2 F 4
163 43797 9 6 4 M 2
184 28816 3 1 2 F 4
43 56326 3 12 8 M 2
73 54105 0 25 6 M 3
170 51059 19 6 8 M 4
102 34118 2 6 6 M 4
104 39218 3 9 6 F 4
148 36595 2 6 6 M 4
112 39109 9 19 4 M 3
95 32505 1 0 7 M 1
165 53425 0 25 6 M 3
183 24200 2 6 0 F 1
92 29575 3 1 2 F 4
54 25912 3 15 9 F 1
140 48548 3 20 4 M 4
158 37739 9 19 4 M 3
150 41695 3 9 6 F 4
130 41142 4 9 6 M 4
50 58022 5 12 8 F 4
32 48695 19 6 8 M 4
127 35518 4 6 4 M 4
89 57310 3 12 8 M 2
124 48582 19 6 8 M 4
