ID Salary Experience Employed Education Gender Department
126 28708 1 0 4 F 1
122 38514 4 21 5 M 1
43 56326 3 12 8 M 2
57 24525 0 0 0 F 3
92 29575 3 1 2 F 4
164 38436 7 18 9 M 1
156 39279 6 18 5 F 1
45 24749 2 6 0 F 1
79 38110 6 9 2 F 4
170 51059 19 6 8 M 4
171 37351 6 9 2 F 4
14 35467 6 3 6 F 2
105 36399 6 6 4 F 4
22 34632 4 5 4 M 4
34 28985 1 0 4 F 1
148 36595 2 6 6 M 4
38 41255 4 9 6 M 4
138 26339 3 1 2 F 4
161 48575 5 14 6 F 4
95 32505 1 0 7 M 1
184 28816 3 1 2 F 4
147 28999 6 5 1 M 1
27 53234 0 25 6 M 3
25 43674 9 6 4 M 2
115 46098 5 14 6 F 4
46 26452 3 1 2 F 4
67 24520 11 3 3 M 1
29 41889 16 22 7 M 1
107 68312 2 25 12 M 4
18 39828 6 18 5 F 1
76 31783 4 21 5 M 1
69 49334 5 14 6 F 4
123 69133 3 22 10 M 4
179 47727 5 15 6 M 3
165 53425 0 25 6 M 3
36 54679 3 20 6 F 3
162 29999 0 2 3 F 2
35 35631 4 6 4 M 4
106 35367 6 3 6 F 2
8 32920 3 15 9 F 1
168 38242 4 21 5 M 1
58 42454 3 9 6 F 4
177 36554 4 9 4 F 2
73 54105 0 25 6 M 3
180 36694 1 6 4 M 2
135 56226 3 12 8 M 2
75 34881 16 22 7 M 1
169 71610 3 22 10 M 4
103 25215 0 0 0 F 3
152 35590 6 3 6 F 2
