ID Salary Experience Employed Education Gender Department
4 54899 5 12 8 F 4
120 51585 6 18 6 M 4
67 24520 11 3 3 M 1
140 48548 3 20 4 M 4
100 32643 3 15 9 F 1
20 37548 9 19 4 M 3
118 38708 7 18 9 M 1
12 39331 3 9 6 F 4
22 34632 4 5 4 M 4
136 32986 6 7 5 F 3
26 38985 7 18 9 M 1
132 26478 6 0 2 F 2
55 22540 6 5 1 M 1
121 41612 16 22 7 M 1
137 24472 2 6 0 F 1
158 37739 9 19 4 M 3
106 35367 6 3 6 F 2
99 26435 1 5 0 M 4
48 49307 3 20 4 M 4
95 32505 1 0 7 M 1
161 48575 5 14 6 F 4
104 39218 3 9 6 F 4
169 71610 3 22 10 M 4
70 30860 0 2 3 F 2
98 35374 2 8 2 F 4
178 26701 6 0 2 F 2
139 67851 0 27 12 F 4
61 71548 2 25 12 M 4
81 38754 4 6 4 M 4
53 29671 1 5 0 M 4
93 65374 0 27 12 F 4
65 39610 5 6 2 M 4
58 42454 3 9 6 F 4
59 39635 6 6 4 F 4
50 58022 5 12 8 F 4
165 53425 0 25 6 M 3
115 46098 5 14 6 F 4
144 37851 2 8 2 F 4
91 17741 2 6 0 F 1
107 68312 2 25 12 M 4
180 36694 1 6 4 M 2
72 31977 7 18 9 M 1
39 36431 4 9 4 F 2
14 35467 6 3 6 F 2
134 36471 1 6 4 M 2
92 29575 3 1 2 F 4
151 38876 6 6 4 F 4
103 25215 0 0 0 F 3
110 39551 6 18 5 F 1
88 37555 1 6 4 M 2
