ID Salary Experience Employed Education Gender Department
3 32782 1 0 7 M 1
69 49334 5 14 6 F 4
131 36331 4 9 4 F 2
44 31425 6 7 5 F 3
160 36996 4 5 4 M 4
181 56449 3 12 8 M 2
120 51585 6 18 6 M 4
110 39551 6 18 5 F 1
111 36374 5 6 2 M 4
90 32296 6 7 5 F 3
109 38139 4 4 8 M 3
49 25774 1 0 7 M 1
80 21977 1 0 4 F 1
35 35631 4 6 4 M 4
183 24200 2 6 0 F 1
153 70789 2 25 12 M 4
14 35467 6 3 6 F 2
43 56326 3 12 8 M 2
134 36471 1 6 4 M 2
118 38708 7 18 9 M 1
106 35367 6 3 6 F 2
166 54062 6 18 6 M 4
63 37449 4 4 8 M 3
22 34632 4 5 4 M 4
28 51698 6 18 6 M 4
96 54786 5 12 8 F 4
123 69133 3 22 10 M 4
5 34869 5 7 4 F 4
97 34756 5 7 4 F 4
42 36571 1 6 4 M 2
140 48548 3 20 4 M 4
81 38754 4 6 4 M 4
150 41695 3 9 6 F 4
19 36487 5 6 2 M 4
159 30979 11 3 3 M 1
107 68312 2 25 12 M 4
177 36554 4 9 4 F 2
165 53425 0 25 6 M 3
163 43797 9 6 4 M 2
154 35591 5 9 4 F 2
76 31783 4 21 5 M 1
48 49307 3 20 4 M 4
79 38110 6 9 2 F 4
133 49097 5 15 6 M 3
130 41142 4 9 6 M 4
147 28999 6 5 1 M 1
138 26339 3 1 2 F 4
18 39828 6 18 5 F 1
143 37233 5 7 4 F 4
100 32643 3 15 9 F 1
