ID Salary Experience Employed Education Gender Department
98 35374 2 8 2 F 4
104 39218 3 9 6 F 4
163 43797 9 6 4 M 2
108 35368 5 9 4 F 2
179 47727 5 15 6 M 3
127 35518 4 6 4 M 4
147 28999 6 5 1 M 1
53 29671 1 5 0 M 4
49 25774 1 0 7 M 1
60 36451 6 3 6 F 2
122 38514 4 21 5 M 1
131 36331 4 9 4 F 2
142 57263 5 12 8 F 4
138 26339 3 1 2 F 4
78 51818 19 6 8 M 4
8 32920 3 15 9 F 1
57 24525 0 0 0 F 3
154 35591 5 9 4 F 2
111 36374 5 6 2 M 4
7 26548 1 5 0 M 4
84 44378 4 9 6 M 4
153 70789 2 25 12 M 4
44 31425 6 7 5 F 3
172 28436 1 0 4 F 1
25 43674 9 6 4 M 2
10 34231 2 6 6 M 4
113 31251 11 3 3 M 1
20 37548 9 19 4 M 3
82 55550 3 20 6 F 3
16 35468 5 9 4 F 2
106 35367 6 3 6 F 2
68 37755 4 5 4 M 4
39 36431 4 9 4 F 2
58 42454 3 9 6 F 4
121 41612 16 22 7 M 1
162 29999 0 2 3 F 2
105 36399 6 6 4 F 4
137 24472 2 6 0 F 1
18 39828 6 18 5 F 1
76 31783 4 21 5 M 1
19 36487 5 6 2 M 4
46 26452 3 1 2 F 4
89 57310 3 12 8 M 2
165 53425 0 25 6 M 3
116 29776 0 2 3 F 2
9 29548 6 5 1 M 1
119 54795 0 25 6 M 3
117 43574 9 6 4 M 2
21 31528 11 3 3 M 1
55 22540 6 5 1 M 1
