ID Salary Experience Employed Education Gender Department
77 72369 3 22 10 M 4
141 32233 1 0 7 M 1
126 28708 1 0 4 F 1
130 41142 4 9 6 M 4
123 69133 3 22 10 M 4
28 51698 6 18 6 M 4
66 38419 9 19 4 M 3
61 71548 2 25 12 M 4
134 36471 1 6 4 M 2
170 51059 19 6 8 M 4
27 53234 0 25 6 M 3
15 68425 2 25 12 M 4
184 28816 3 1 2 F 4
75 34881 16 22 7 M 1
20 37548 9 19 4 M 3
98 35374 2 8 2 F 4
34 28985 1 0 4 F 1
57 24525 0 0 0 F 3
81 38754 4 6 4 M 4
70 30860 0 2 3 F 2
169 71610 3 22 10 M 4
148 36595 2 6 6 M 4
73 54105 0 25 6 M 3
167 41340 16 22 7 M 1
7 26548 1 5 0 M 4
67 24520 11 3 3 M 1
100 32643 3 15 9 F 1
105 36399 6 6 4 F 4
41 47536 5 15 6 M 3
14 35467 6 3 6 F 2
89 57310 3 12 8 M 2
90 32296 6 7 5 F 3
2 46184 3 20 4 M 4
93 65374 0 27 12 F 4
138 26339 3 1 2 F 4
101 29271 6 5 1 M 1
32 48695 19 6 8 M 4
159 30979 11 3 3 M 1
165 53425 0 25 6 M 3
160 36996 4 5 4 M 4
104 39218 3 9 6 F 4
173 37995 4 6 4 M 4
71 44658 9 6 4 M 2
82 55550 3 20 6 F 3
132 26478 6 0 2 F 2
62 36452 5 9 4 F 2
112 39109 9 19 4 M 3
118 38708 7 18 9 M 1
125 34874 6 9 2 F 4
144 37851 2 8 2 F 4
