ID Salary Experience Employed Education Gender Department
99 26435 1 5 0 M 4
84 44378 4 9 6 M 4
11 23654 0 0 0 F 3
6 35487 2 8 2 F 4
16 35468 5 9 4 F 2
166 54062 6 18 6 M 4
173 37995 4 6 4 M 4
96 54786 5 12 8 F 4
145 28912 1 5 0 M 4
5 34869 5 7 4 F 4
113 31251 11 3 3 M 1
86 27562 6 0 2 F 2
103 25215 0 0 0 F 3
171 37351 6 9 2 F 4
44 31425 6 7 5 F 3
161 48575 5 14 6 F 4
45 24749 2 6 0 F 1
183 24200 2 6 0 F 1
133 49097 5 15 6 M 3
97 34756 5 7 4 F 4
10 34231 2 6 6 M 4
157 38851 5 6 2 M 4
170 51059 19 6 8 M 4
122 38514 4 21 5 M 1
148 36595 2 6 6 M 4
4 54899 5 12 8 F 4
67 24520 11 3 3 M 1
130 41142 4 9 6 M 4
104 39218 3 9 6 F 4
18 39828 6 18 5 F 1
41 47536 5 15 6 M 3
65 39610 5 6 2 M 4
132 26478 6 0 2 F 2
24 29876 0 2 3 F 2
160 36996 4 5 4 M 4
150 41695 3 9 6 F 4
128 56240 3 20 6 F 3
60 36451 6 3 6 F 2
88 37555 1 6 4 M 2
100 32643 3 15 9 F 1
26 38985 7 18 9 M 1
55 22540 6 5 1 M 1
73 54105 0 25 6 M 3
23 46211 5 14 6 F 4
12 39331 3 9 6 F 4
174 54870 3 20 6 F 3
36 54679 3 20 6 F 3
121 41612 16 22 7 M 1
50 58022 5 12 8 F 4
9 29548 6 5 1 M 1
