ID Salary Experience Employed Education Gender Department
102 34118 2 6 6 M 4
35 35631 4 6 4 M 4
11 23654 0 0 0 F 3
104 39218 3 9 6 F 4
49 25774 1 0 7 M 1
72 31977 7 18 9 M 1
28 51698 6 18 6 M 4
91 17741 2 6 0 F 1
31 69246 3 22 10 M 4
145 28912 1 5 0 M 4
70 30860 0 2 3 F 2
152 35590 6 3 6 F 2
89 57310 3 12 8 M 2
181 56449 3 12 8 M 2
160 36996 4 5 4 M 4
149 23845 0 0 0 F 3
29 41889 16 22 7 M 1
99 26435 1 5 0 M 4
46 26452 3 1 2 F 4
18 39828 6 18 5 F 1
159 30979 11 3 3 M 1
131 36331 4 9 4 F 2
98 35374 2 8 2 F 4
45 24749 2 6 0 F 1
141 32233 1 0 7 M 1
20 37548 9 19 4 M 3
94 46071 3 20 4 M 4
107 68312 2 25 12 M 4
180 36694 1 6 4 M 2
97 34756 5 7 4 F 4
69 49334 5 14 6 F 4
118 38708 7 18 9 M 1
110 39551 6 18 5 F 1
134 36471 1 6 4 M 2
25 43674 9 6 4 M 2
12 39331 3 9 6 F 4
15 68425 2 25 12 M 4
150 41695 3 9 6 F 4
90 32296 6 7 5 F 3
61 71548 2 25 12 M 4
114 34519 4 5 4 M 4
93 65374 0 27 12 F 4
52 38610 2 8 2 F 4
67 24520 11 3 3 M 1
66 38419 9 19 4 M 3
153 70789 2 25 12 M 4
128 56240 3 20 6 F 3
24 29876 0 2 3 F 2
166 54062 6 18 6 M 4
96 54786 5 12 8 F 4
