ID Salary Experience Employed Education Gender Department
180 36694 1 6 4 M 2
114 34519 4 5 4 M 4
1 65487 0 27 12 F 4
67 24520 11 3 3 M 1
20 37548 9 19 4 M 3
46 26452 3 1 2 F 4
23 46211 5 14 6 F 4
126 28708 1 0 4 F 1
173 37995 4 6 4 M 4
172 28436 1 0 4 F 1
24 29876 0 2 3 F 2
151 38876 6 6 4 F 4
167 41340 16 22 7 M 1
52 38610 2 8 2 F 4
122 38514 4 21 5 M 1
157 38851 5 6 2 M 4
94 46071 3 20 4 M 4
131 36331 4 9 4 F 2
45 24749 2 6 0 F 1
148 36595 2 6 6 M 4
91 17741 2 6 0 F 1
77 72369 3 22 10 M 4
100 32643 3 15 9 F 1
34 28985 1 0 4 F 1
80 21977 1 0 4 F 1
179 47727 5 15 6 M 3
107 68312 2 25 12 M 4
124 48582 19 6 8 M 4
110 39551 6 18 5 F 1
178 26701 6 0 2 F 2
158 37739 9 19 4 M 3
43 56326 3 12 8 M 2
97 34756 5 7 4 F 4
54 25912 3 15 9 F 1
118 38708 7 18 9 M 1
4 54899 5 12 8 F 4
101 29271 6 5 1 M 1
106 35367 6 3 6 F 2
109 38139 4 4 8 M 3
47 68610 0 27 12 F 4
90 32296 6 7 5 F 3
58 42454 3 9 6 F 4
135 56226 3 12 8 M 2
183 24200 2 6 0 F 1
39 36431 4 9 4 F 2
170 51059 19 6 8 M 4
174 54870 3 20 6 F 3
102 34118 2 6 6 M 4
152 35590 6 3 6 F 2
68 37755 4 5 4 M 4
