ID Salary Experience Employed Education Gender Department
69 49334 5 14 6 F 4
80 21977 1 0 4 F 1
75 34881 16 22 7 M 1
2 46184 3 20 4 M 4
73 54105 0 25 6 M 3
155 36769 4 4 8 M 3
119 54795 0 25 6 M 3
65 39610 5 6 2 M 4
1 65487 0 27 12 F 4
78 51818 19 6 8 M 4
51 37992 5 7 4 F 4
19 36487 5 6 2 M 4
144 37851 2 8 2 F 4
6 35487 2 8 2 F 4
7 26548 1 5 0 M 4
95 32505 1 0 7 M 1
14 35467 6 3 6 F 2
67 24520 11 3 3 M 1
104 39218 3 9 6 F 4
58 42454 3 9 6 F 4
112 39109 9 19 4 M 3
18 39828 6 18 5 F 1
31 69246 3 22 10 M 4
48 49307 3 20 4 M 4
184 28816 3 1 2 F 4
84 44378 4 9 6 M 4
135 56226 3 12 8 M 2
152 35590 6 3 6 F 2
97 34756 5 7 4 F 4
8 32920 3 15 9 F 1
169 71610 3 22 10 M 4
93 65374 0 27 12 F 4
87 48407 5 15 6 M 3
139 67851 0 27 12 F 4
16 35468 5 9 4 F 2
121 41612 16 22 7 M 1
89 57310 3 12 8 M 2
179 47727 5 15 6 M 3
134 36471 1 6 4 M 2
46 26452 3 1 2 F 4
105 36399 6 6 4 F 4
38 41255 4 9 6 M 4
107 68312 2 25 12 M 4
9 29548 6 5 1 M 1
147 28999 6 5 1 M 1
170 51059 19 6 8 M 4
175 42107 6 9 5 F 4
85 37415 4 9 4 F 2
141 32233 1 0 7 M 1
109 38139 4 4 8 M 3
