ID Salary Experience Employed Education Gender Department
103 25215 0 0 0 F 3
164 38436 7 18 9 M 1
70 30860 0 2 3 F 2
76 31783 4 21 5 M 1
6 35487 2 8 2 F 4
20 37548 9 19 4 M 3
131 36331 4 9 4 F 2
125 34874 6 9 2 F 4
132 26478 6 0 2 F 2
38 41255 4 9 6 M 4
113 31251 11 3 3 M 1
111 36374 5 6 2 M 4
178 26701 6 0 2 F 2
134 36471 1 6 4 M 2
182 31616 6 7 5 F 3
29 41889 16 22 7 M 1
110 39551 6 18 5 F 1
93 65374 0 27 12 F 4
92 29575 3 1 2 F 4
58 42454 3 9 6 F 4
105 36399 6 6 4 F 4
141 32233 1 0 7 M 1
33 34987 6 9 2 F 4
28 51698 6 18 6 M 4
149 23845 0 0 0 F 3
184 28816 3 1 2 F 4
5 34869 5 7 4 F 4
169 71610 3 22 10 M 4
151 38876 6 6 4 F 4
120 51585 6 18 6 M 4
37 39743 6 9 5 F 4
13 36512 6 6 4 F 4
157 38851 5 6 2 M 4
119 54795 0 25 6 M 3
21 31528 11 3 3 M 1
7 26548 1 5 0 M 4
54 25912 3 15 9 F 1
56 37354 2 6 6 M 4
170 51059 19 6 8 M 4
153 70789 2 25 12 M 4
65 39610 5 6 2 M 4
126 28708 1 0 4 F 1
57 24525 0 0 0 F 3
61 71548 2 25 12 M 4
71 44658 9 6 4 M 2
35 35631 4 6 4 M 4
39 36431 4 9 4 F 2
9 29548 6 5 1 M 1
130 41142 4 9 6 M 4
133 49097 5 15 6 M 3
