ID Salary Experience Employed Education Gender Department
83 42866 6 9 5 F 4
37 39743 6 9 5 F 4
35 35631 4 6 4 M 4
48 49307 3 20 4 M 4
64 32820 6 18 5 F 1
10 34231 2 6 6 M 4
34 28985 1 0 4 F 1
115 46098 5 14 6 F 4
104 39218 3 9 6 F 4
142 57263 5 12 8 F 4
148 36595 2 6 6 M 4
101 29271 6 5 1 M 1
74 54821 6 18 6 M 4
75 34881 16 22 7 M 1
97 34756 5 7 4 F 4
176 43619 4 9 6 M 4
178 26701 6 0 2 F 2
136 32986 6 7 5 F 3
57 24525 0 0 0 F 3
73 54105 0 25 6 M 3
1 65487 0 27 12 F 4
149 23845 0 0 0 F 3
69 49334 5 14 6 F 4
99 26435 1 5 0 M 4
22 34632 4 5 4 M 4
20 37548 9 19 4 M 3
150 41695 3 9 6 F 4
116 29776 0 2 3 F 2
2 46184 3 20 4 M 4
16 35468 5 9 4 F 2
56 37354 2 6 6 M 4
124 48582 19 6 8 M 4
98 35374 2 8 2 F 4
6 35487 2 8 2 F 4
172 28436 1 0 4 F 1
161 48575 5 14 6 F 4
113 31251 11 3 3 M 1
42 36571 1 6 4 M 2
50 58022 5 12 8 F 4
112 39109 9 19 4 M 3
19 36487 5 6 2 M 4
118 38708 7 18 9 M 1
154 35591 5 9 4 F 2
86 27562 6 0 2 F 2
59 39635 6 6 4 F 4
107 68312 2 25 12 M 4
138 26339 3 1 2 F 4
12 39331 3 9 6 F 4
143 37233 5 7 4 F 4
52 38610 2 8 2 F 4
