ID Salary Experience Employed Education Gender Department
161 48575 5 14 6 F 4
130 41142 4 9 6 M 4
62 36452 5 9 4 F 2
13 36512 6 6 4 F 4
169 71610 3 22 10 M 4
117 43574 9 6 4 M 2
99 26435 1 5 0 M 4
46 26452 3 1 2 F 4
83 42866 6 9 5 F 4
67 24520 11 3 3 M 1
146 32371 3 15 9 F 1
41 47536 5 15 6 M 3
174 54870 3 20 6 F 3
163 43797 9 6 4 M 2
175 42107 6 9 5 F 4
49 25774 1 0 7 M 1
71 44658 9 6 4 M 2
123 69133 3 22 10 M 4
59 39635 6 6 4 F 4
37 39743 6 9 5 F 4
176 43619 4 9 6 M 4
153 70789 2 25 12 M 4
105 36399 6 6 4 F 4
127 35518 4 6 4 M 4
110 39551 6 18 5 F 1
33 34987 6 9 2 F 4
137 24472 2 6 0 F 1
168 38242 4 21 5 M 1
150 41695 3 9 6 F 4
44 31425 6 7 5 F 3
85 37415 4 9 4 F 2
70 30860 0 2 3 F 2
165 53425 0 25 6 M 3
172 28436 1 0 4 F 1
64 32820 6 18 5 F 1
52 38610 2 8 2 F 4
90 32296 6 7 5 F 3
131 36331 4 9 4 F 2
76 31783 4 21 5 M 1
121 41612 16 22 7 M 1
104 39218 3 9 6 F 4
157 38851 5 6 2 M 4
118 38708 7 18 9 M 1
12 39331 3 9 6 F 4
141 32233 1 0 7 M 1
122 38514 4 21 5 M 1
147 28999 6 5 1 M 1
30 38791 4 21 5 M 1
27 53234 0 25 6 M 3
93 65374 0 27 12 F 4
