ID Salary Experience Employed Education Gender Department
98 35374 2 8 2 F 4
111 36374 5 6 2 M 4
104 39218 3 9 6 F 4
14 35467 6 3 6 F 2
46 26452 3 1 2 F 4
50 58022 5 12 8 F 4
69 49334 5 14 6 F 4
146 32371 3 15 9 F 1
118 38708 7 18 9 M 1
116 29776 0 2 3 F 2
29 41889 16 22 7 M 1
136 32986 6 7 5 F 3
162 29999 0 2 3 F 2
59 39635 6 6 4 F 4
87 48407 5 15 6 M 3
125 34874 6 9 2 F 4
166 54062 6 18 6 M 4
42 36571 1 6 4 M 2
60 36451 6 3 6 F 2
35 35631 4 6 4 M 4
173 37995 4 6 4 M 4
119 54795 0 25 6 M 3
150 41695 3 9 6 F 4
26 38985 7 18 9 M 1
159 30979 11 3 3 M 1
56 37354 2 6 6 M 4
122 38514 4 21 5 M 1
89 57310 3 12 8 M 2
179 47727 5 15 6 M 3
175 42107 6 9 5 F 4
6 35487 2 8 2 F 4
176 43619 4 9 6 M 4
48 49307 3 20 4 M 4
79 38110 6 9 2 F 4
180 36694 1 6 4 M 2
64 32820 6 18 5 F 1
88 37555 1 6 4 M 2
3 32782 1 0 7 M 1
11 23654 0 0 0 F 3
36 54679 3 20 6 F 3
12 39331 3 9 6 F 4
157 38851 5 6 2 M 4
172 28436 1 0 4 F 1
170 51059 19 6 8 M 4
44 31425 6 7 5 F 3
38 41255 4 9 6 M 4
167 41340 16 22 7 M 1
145 28912 1 5 0 M 4
182 31616 6 7 5 F 3
21 31528 11 3 3 M 1
