ID Salary Experience Employed Education Gender Department
100 32643 3 15 9 F 1
72 31977 7 18 9 M 1
44 31425 6 7 5 F 3
87 48407 5 15 6 M 3
63 37449 4 4 8 M 3
174 54870 3 20 6 F 3
92 29575 3 1 2 F 4
58 42454 3 9 6 F 4
17 36578 4 4 8 M 3
30 38791 4 21 5 M 1
95 32505 1 0 7 M 1
138 26339 3 1 2 F 4
182 31616 6 7 5 F 3
139 67851 0 27 12 F 4
76 31783 4 21 5 M 1
28 51698 6 18 6 M 4
119 54795 0 25 6 M 3
38 41255 4 9 6 M 4
167 41340 16 22 7 M 1
160 36996 4 5 4 M 4
99 26435 1 5 0 M 4
8 32920 3 15 9 F 1
97 34756 5 7 4 F 4
69 49334 5 14 6 F 4
16 35468 5 9 4 F 2
31 69246 3 22 10 M 4
33 34987 6 9 2 F 4
54 25912 3 15 9 F 1
20 37548 9 19 4 M 3
13 36512 6 6 4 F 4
45 24749 2 6 0 F 1
112 39109 9 19 4 M 3
123 69133 3 22 10 M 4
42 36571 1 6 4 M 2
178 26701 6 0 2 F 2
110 39551 6 18 5 F 1
166 54062 6 18 6 M 4
131 36331 4 9 4 F 2
170 51059 19 6 8 M 4
148 36595 2 6 6 M 4
80 21977 1 0 4 F 1
26 38985 7 18 9 M 1
84 44378 4 9 6 M 4
126 28708 1 0 4 F 1
37 39743 6 9 5 F 4
86 27562 6 0 2 F 2
176 43619 4 9 6 M 4
128 56240 3 20 6 F 3
157 38851 5 6 2 M 4
77 72369 3 22 10 M 4
