ID Salary Experience Employed Education Gender Department
146 32371 3 15 9 F 1
43 56326 3 12 8 M 2
165 53425 0 25 6 M 3
102 34118 2 6 6 M 4
42 36571 1 6 4 M 2
48 49307 3 20 4 M 4
183 24200 2 6 0 F 1
124 48582 19 6 8 M 4
133 49097 5 15 6 M 3
121 41612 16 22 7 M 1
157 38851 5 6 2 M 4
130 41142 4 9 6 M 4
110 39551 6 18 5 F 1
27 53234 0 25 6 M 3
47 68610 0 27 12 F 4
160 36996 4 5 4 M 4
105 36399 6 6 4 F 4
178 26701 6 0 2 F 2
137 24472 2 6 0 F 1
123 69133 3 22 10 M 4
88 37555 1 6 4 M 2
54 25912 3 15 9 F 1
138 26339 3 1 2 F 4
184 28816 3 1 2 F 4
58 42454 3 9 6 F 4
45 24749 2 6 0 F 1
56 37354 2 6 6 M 4
10 34231 2 6 6 M 4
7 26548 1 5 0 M 4
131 36331 4 9 4 F 2
33 34987 6 9 2 F 4
51 37992 5 7 4 F 4
69 49334 5 14 6 F 4
90 32296 6 7 5 F 3
175 42107 6 9 5 F 4
107 68312 2 25 12 M 4
159 30979 11 3 3 M 1
155 36769 4 4 8 M 3
74 54821 6 18 6 M 4
34 28985 1 0 4 F 1
39 36431 4 9 4 F 2
8 32920 3 15 9 F 1
75 34881 16 22 7 M 1
116 29776 0 2 3 F 2
151 38876 6 6 4 F 4
52 38610 2 8 2 F 4
156 39279 6 18 5 F 1
145 28912 1 5 0 M 4
31 69246 3 22 10 M 4
92 29575 3 1 2 F 4
