ID Salary Experience Employed Education Gender Department
25 43674 9 6 4 M 2
159 30979 11 3 3 M 1
110 39551 6 18 5 F 1
141 32233 1 0 7 M 1
86 27562 6 0 2 F 2
7 26548 1 5 0 M 4
116 29776 0 2 3 F 2
178 26701 6 0 2 F 2
175 42107 6 9 5 F 4
85 37415 4 9 4 F 2
34 28985 1 0 4 F 1
32 48695 19 6 8 M 4
132 26478 6 0 2 F 2
135 56226 3 12 8 M 2
95 32505 1 0 7 M 1
9 29548 6 5 1 M 1
163 43797 9 6 4 M 2
101 29271 6 5 1 M 1
63 37449 4 4 8 M 3
113 31251 11 3 3 M 1
18 39828 6 18 5 F 1
41 47536 5 15 6 M 3
74 54821 6 18 6 M 4
36 54679 3 20 6 F 3
103 25215 0 0 0 F 3
84 44378 4 9 6 M 4
40 26578 6 0 2 F 2
13 36512 6 6 4 F 4
42 36571 1 6 4 M 2
181 56449 3 12 8 M 2
104 39218 3 9 6 F 4
2 46184 3 20 4 M 4
99 26435 1 5 0 M 4
179 47727 5 15 6 M 3
120 51585 6 18 6 M 4
28 51698 6 18 6 M 4
50 58022 5 12 8 F 4
68 37755 4 5 4 M 4
62 36452 5 9 4 F 2
26 38985 7 18 9 M 1
156 39279 6 18 5 F 1
109 38139 4 4 8 M 3
72 31977 7 18 9 M 1
129 39630 6 9 5 F 4
8 32920 3 15 9 F 1
82 55550 3 20 6 F 3
118 38708 7 18 9 M 1
127 35518 4 6 4 M 4
126 28708 1 0 4 F 1
87 48407 5 15 6 M 3
