ID Salary Experience Employed Education Gender Department
123 69133 3 22 10 M 4
51 37992 5 7 4 F 4
105 36399 6 6 4 F 4
161 48575 5 14 6 F 4
79 38110 6 9 2 F 4
80 21977 1 0 4 F 1
163 43797 9 6 4 M 2
145 28912 1 5 0 M 4
122 38514 4 21 5 M 1
143 37233 5 7 4 F 4
59 39635 6 6 4 F 4
106 35367 6 3 6 F 2
170 51059 19 6 8 M 4
62 36452 5 9 4 F 2
78 51818 19 6 8 M 4
46 26452 3 1 2 F 4
147 28999 6 5 1 M 1
131 36331 4 9 4 F 2
17 36578 4 4 8 M 3
181 56449 3 12 8 M 2
119 54795 0 25 6 M 3
148 36595 2 6 6 M 4
73 54105 0 25 6 M 3
132 26478 6 0 2 F 2
104 39218 3 9 6 F 4
118 38708 7 18 9 M 1
85 37415 4 9 4 F 2
72 31977 7 18 9 M 1
23 46211 5 14 6 F 4
159 30979 11 3 3 M 1
175 42107 6 9 5 F 4
100 32643 3 15 9 F 1
43 56326 3 12 8 M 2
75 34881 16 22 7 M 1
134 36471 1 6 4 M 2
57 24525 0 0 0 F 3
87 48407 5 15 6 M 3
130 41142 4 9 6 M 4
91 17741 2 6 0 F 1
103 25215 0 0 0 F 3
182 31616 6 7 5 F 3
116 29776 0 2 3 F 2
133 49097 5 15 6 M 3
160 36996 4 5 4 M 4
65 39610 5 6 2 M 4
180 36694 1 6 4 M 2
144 37851 2 8 2 F 4
146 32371 3 15 9 F 1
117 43574 9 6 4 M 2
53 29671 1 5 0 M 4
