ID Salary Experience Employed Education Gender Department
106 35367 6 3 6 F 2
38 41255 4 9 6 M 4
33 34987 6 9 2 F 4
133 49097 5 15 6 M 3
58 42454 3 9 6 F 4
128 56240 3 20 6 F 3
11 23654 0 0 0 F 3
34 28985 1 0 4 F 1
130 41142 4 9 6 M 4
87 48407 5 15 6 M 3
104 39218 3 9 6 F 4
22 34632 4 5 4 M 4
43 56326 3 12 8 M 2
171 37351 6 9 2 F 4
140 48548 3 20 4 M 4
144 37851 2 8 2 F 4
119 54795 0 25 6 M 3
123 69133 3 22 10 M 4
52 38610 2 8 2 F 4
95 32505 1 0 7 M 1
15 68425 2 25 12 M 4
121 41612 16 22 7 M 1
161 48575 5 14 6 F 4
78 51818 19 6 8 M 4
118 38708 7 18 9 M 1
49 25774 1 0 7 M 1
50 58022 5 12 8 F 4
114 34519 4 5 4 M 4
176 43619 4 9 6 M 4
179 47727 5 15 6 M 3
60 36451 6 3 6 F 2
3 32782 1 0 7 M 1
101 29271 6 5 1 M 1
107 68312 2 25 12 M 4
46 26452 3 1 2 F 4
59 39635 6 6 4 F 4
109 38139 4 4 8 M 3
7 26548 1 5 0 M 4
5 34869 5 7 4 F 4
1 65487 0 27 12 F 4
69 49334 5 14 6 F 4
29 41889 16 22 7 M 1
178 26701 6 0 2 F 2
143 37233 5 7 4 F 4
162 29999 0 2 3 F 2
156 39279 6 18 5 F 1
45 24749 2 6 0 F 1
63 37449 4 4 8 M 3
55 22540 6 5 1 M 1
61 71548 2 25 12 M 4
