ID Salary Experience Employed Education Gender Department
135 56226 3 12 8 M 2
110 39551 6 18 5 F 1
118 38708 7 18 9 M 1
52 38610 2 8 2 F 4
62 36452 5 9 4 F 2
174 54870 3 20 6 F 3
54 25912 3 15 9 F 1
178 26701 6 0 2 F 2
49 25774 1 0 7 M 1
132 26478 6 0 2 F 2
177 36554 4 9 4 F 2
115 46098 5 14 6 F 4
55 22540 6 5 1 M 1
122 38514 4 21 5 M 1
117 43574 9 6 4 M 2
152 35590 6 3 6 F 2
72 31977 7 18 9 M 1
103 25215 0 0 0 F 3
114 34519 4 5 4 M 4
146 32371 3 15 9 F 1
129 39630 6 9 5 F 4
51 37992 5 7 4 F 4
77 72369 3 22 10 M 4
34 28985 1 0 4 F 1
126 28708 1 0 4 F 1
113 31251 11 3 3 M 1
46 26452 3 1 2 F 4
22 34632 4 5 4 M 4
12 39331 3 9 6 F 4
102 34118 2 6 6 M 4
35 35631 4 6 4 M 4
53 29671 1 5 0 M 4
180 36694 1 6 4 M 2
27 53234 0 25 6 M 3
98 35374 2 8 2 F 4
67 24520 11 3 3 M 1
172 28436 1 0 4 F 1
141 32233 1 0 7 M 1
157 38851 5 6 2 M 4
71 44658 9 6 4 M 2
127 35518 4 6 4 M 4
161 48575 5 14 6 F 4
11 23654 0 0 0 F 3
155 36769 4 4 8 M 3
56 37354 2 6 6 M 4
99 26435 1 5 0 M 4
158 37739 9 19 4 M 3
154 35591 5 9 4 F 2
7 26548 1 5 0 M 4
93 65374 0 27 12 F 4
