ID Salary Experience Employed Education Gender Department
113 31251 11 3 3 M 1
171 37351 6 9 2 F 4
125 34874 6 9 2 F 4
166 54062 6 18 6 M 4
31 69246 3 22 10 M 4
37 39743 6 9 5 F 4
129 39630 6 9 5 F 4
69 49334 5 14 6 F 4
55 22540 6 5 1 M 1
47 68610 0 27 12 F 4
15 68425 2 25 12 M 4
85 37415 4 9 4 F 2
162 29999 0 2 3 F 2
61 71548 2 25 12 M 4
143 37233 5 7 4 F 4
136 32986 6 7 5 F 3
71 44658 9 6 4 M 2
58 42454 3 9 6 F 4
60 36451 6 3 6 F 2
147 28999 6 5 1 M 1
90 32296 6 7 5 F 3
177 36554 4 9 4 F 2
18 39828 6 18 5 F 1
108 35368 5 9 4 F 2
156 39279 6 18 5 F 1
81 38754 4 6 4 M 4
66 38419 9 19 4 M 3
48 49307 3 20 4 M 4
89 57310 3 12 8 M 2
128 56240 3 20 6 F 3
53 29671 1 5 0 M 4
91 17741 2 6 0 F 1
152 35590 6 3 6 F 2
5 34869 5 7 4 F 4
112 39109 9 19 4 M 3
126 28708 1 0 4 F 1
165 53425 0 25 6 M 3
82 55550 3 20 6 F 3
8 32920 3 15 9 F 1
28 51698 6 18 6 M 4
26 38985 7 18 9 M 1
49 25774 1 0 7 M 1
13 36512 6 6 4 F 4
32 48695 19 6 8 M 4
2 46184 3 20 4 M 4
180 36694 1 6 4 M 2
111 36374 5 6 2 M 4
114 34519 4 5 4 M 4
86 27562 6 0 2 F 2
141 32233 1 0 7 M 1
