ID Salary Experience Employed Education Gender Department
136 32986 6 7 5 F 3
99 26435 1 5 0 M 4
138 26339 3 1 2 F 4
10 34231 2 6 6 M 4
127 35518 4 6 4 M 4
16 35468 5 9 4 F 2
154 35591 5 9 4 F 2
27 53234 0 25 6 M 3
131 36331 4 9 4 F 2
184 28816 3 1 2 F 4
29 41889 16 22 7 M 1
48 49307 3 20 4 M 4
157 38851 5 6 2 M 4
133 49097 5 15 6 M 3
129 39630 6 9 5 F 4
180 36694 1 6 4 M 2
87 48407 5 15 6 M 3
57 24525 0 0 0 F 3
102 34118 2 6 6 M 4
170 51059 19 6 8 M 4
59 39635 6 6 4 F 4
71 44658 9 6 4 M 2
120 51585 6 18 6 M 4
53 29671 1 5 0 M 4
137 24472 2 6 0 F 1
109 38139 4 4 8 M 3
150 41695 3 9 6 F 4
60 36451 6 3 6 F 2
93 65374 0 27 12 F 4
115 46098 5 14 6 F 4
106 35367 6 3 6 F 2
144 37851 2 8 2 F 4
24 29876 0 2 3 F 2
73 54105 0 25 6 M 3
70 30860 0 2 3 F 2
178 26701 6 0 2 F 2
112 39109 9 19 4 M 3
8 32920 3 15 9 F 1
98 35374 2 8 2 F 4
21 31528 11 3 3 M 1
152 35590 6 3 6 F 2
147 28999 6 5 1 M 1
118 38708 7 18 9 M 1
140 48548 3 20 4 M 4
83 42866 6 9 5 F 4
31 69246 3 22 10 M 4
139 67851 0 27 12 F 4
18 39828 6 18 5 F 1
145 28912 1 5 0 M 4
89 57310 3 12 8 M 2
