ID Salary Experience Employed Education Gender Department
136 32986 6 7 5 F 3
113 31251 11 3 3 M 1
141 32233 1 0 7 M 1
6 35487 2 8 2 F 4
7 26548 1 5 0 M 4
88 37555 1 6 4 M 2
129 39630 6 9 5 F 4
120 51585 6 18 6 M 4
58 42454 3 9 6 F 4
145 28912 1 5 0 M 4
73 54105 0 25 6 M 3
18 39828 6 18 5 F 1
102 34118 2 6 6 M 4
12 39331 3 9 6 F 4
62 36452 5 9 4 F 2
119 54795 0 25 6 M 3
63 37449 4 4 8 M 3
95 32505 1 0 7 M 1
172 28436 1 0 4 F 1
139 67851 0 27 12 F 4
150 41695 3 9 6 F 4
106 35367 6 3 6 F 2
67 24520 11 3 3 M 1
117 43574 9 6 4 M 2
68 37755 4 5 4 M 4
111 36374 5 6 2 M 4
56 37354 2 6 6 M 4
118 38708 7 18 9 M 1
89 57310 3 12 8 M 2
107 68312 2 25 12 M 4
109 38139 4 4 8 M 3
86 27562 6 0 2 F 2
97 34756 5 7 4 F 4
52 38610 2 8 2 F 4
154 35591 5 9 4 F 2
161 48575 5 14 6 F 4
127 35518 4 6 4 M 4
76 31783 4 21 5 M 1
83 42866 6 9 5 F 4
133 49097 5 15 6 M 3
166 54062 6 18 6 M 4
43 56326 3 12 8 M 2
101 29271 6 5 1 M 1
182 31616 6 7 5 F 3
156 39279 6 18 5 F 1
42 36571 1 6 4 M 2
4 54899 5 12 8 F 4
47 68610 0 27 12 F 4
152 35590 6 3 6 F 2
157 38851 5 6 2 M 4
