ID Salary Experience Employed Education Gender Department
116 29776 0 2 3 F 2
5 34869 5 7 4 F 4
147 28999 6 5 1 M 1
161 48575 5 14 6 F 4
148 36595 2 6 6 M 4
96 54786 5 12 8 F 4
118 38708 7 18 9 M 1
74 54821 6 18 6 M 4
64 32820 6 18 5 F 1
73 54105 0 25 6 M 3
69 49334 5 14 6 F 4
55 22540 6 5 1 M 1
10 34231 2 6 6 M 4
71 44658 9 6 4 M 2
87 48407 5 15 6 M 3
156 39279 6 18 5 F 1
27 53234 0 25 6 M 3
110 39551 6 18 5 F 1
117 43574 9 6 4 M 2
91 17741 2 6 0 F 1
56 37354 2 6 6 M 4
52 38610 2 8 2 F 4
160 36996 4 5 4 M 4
79 38110 6 9 2 F 4
85 37415 4 9 4 F 2
93 65374 0 27 12 F 4
131 36331 4 9 4 F 2
78 51818 19 6 8 M 4
153 70789 2 25 12 M 4
124 48582 19 6 8 M 4
34 28985 1 0 4 F 1
15 68425 2 25 12 M 4
82 55550 3 20 6 F 3
159 30979 11 3 3 M 1
163 43797 9 6 4 M 2
90 32296 6 7 5 F 3
3 32782 1 0 7 M 1
158 37739 9 19 4 M 3
19 36487 5 6 2 M 4
99 26435 1 5 0 M 4
107 68312 2 25 12 M 4
30 38791 4 21 5 M 1
104 39218 3 9 6 F 4
16 35468 5 9 4 F 2
139 67851 0 27 12 F 4
38 41255 4 9 6 M 4
50 58022 5 12 8 F 4
108 35368 5 9 4 F 2
102 34118 2 6 6 M 4
20 37548 9 19 4 M 3
