ID Salary Experience Employed Education Gender Department
70 30860 0 2 3 F 2
28 51698 6 18 6 M 4
34 28985 1 0 4 F 1
19 36487 5 6 2 M 4
108 35368 5 9 4 F 2
105 36399 6 6 4 F 4
90 32296 6 7 5 F 3
184 28816 3 1 2 F 4
57 24525 0 0 0 F 3
129 39630 6 9 5 F 4
35 35631 4 6 4 M 4
29 41889 16 22 7 M 1
140 48548 3 20 4 M 4
78 51818 19 6 8 M 4
61 71548 2 25 12 M 4
16 35468 5 9 4 F 2
46 26452 3 1 2 F 4
162 29999 0 2 3 F 2
9 29548 6 5 1 M 1
97 34756 5 7 4 F 4
83 42866 6 9 5 F 4
30 38791 4 21 5 M 1
119 54795 0 25 6 M 3
3 32782 1 0 7 M 1
62 36452 5 9 4 F 2
96 54786 5 12 8 F 4
63 37449 4 4 8 M 3
27 53234 0 25 6 M 3
151 38876 6 6 4 F 4
73 54105 0 25 6 M 3
159 30979 11 3 3 M 1
60 36451 6 3 6 F 2
15 68425 2 25 12 M 4
7 26548 1 5 0 M 4
40 26578 6 0 2 F 2
157 38851 5 6 2 M 4
146 32371 3 15 9 F 1
136 32986 6 7 5 F 3
148 36595 2 6 6 M 4
51 37992 5 7 4 F 4
115 46098 5 14 6 F 4
85 37415 4 9 4 F 2
153 70789 2 25 12 M 4
163 43797 9 6 4 M 2
134 36471 1 6 4 M 2
86 27562 6 0 2 F 2
32 48695 19 6 8 M 4
79 38110 6 9 2 F 4
113 31251 11 3 3 M 1
81 38754 4 6 4 M 4
