ID Salary Experience Employed Education Gender Department
145 28912 1 5 0 M 4
118 38708 7 18 9 M 1
5 34869 5 7 4 F 4
34 28985 1 0 4 F 1
120 51585 6 18 6 M 4
2 46184 3 20 4 M 4
99 26435 1 5 0 M 4
142 57263 5 12 8 F 4
179 47727 5 15 6 M 3
115 46098 5 14 6 F 4
163 43797 9 6 4 M 2
104 39218 3 9 6 F 4
51 37992 5 7 4 F 4
161 48575 5 14 6 F 4
168 38242 4 21 5 M 1
21 31528 11 3 3 M 1
126 28708 1 0 4 F 1
49 25774 1 0 7 M 1
76 31783 4 21 5 M 1
90 32296 6 7 5 F 3
79 38110 6 9 2 F 4
80 21977 1 0 4 F 1
136 32986 6 7 5 F 3
111 36374 5 6 2 M 4
26 38985 7 18 9 M 1
39 36431 4 9 4 F 2
67 24520 11 3 3 M 1
151 38876 6 6 4 F 4
176 43619 4 9 6 M 4
121 41612 16 22 7 M 1
61 71548 2 25 12 M 4
75 34881 16 22 7 M 1
160 36996 4 5 4 M 4
27 53234 0 25 6 M 3
130 41142 4 9 6 M 4
58 42454 3 9 6 F 4
109 38139 4 4 8 M 3
30 38791 4 21 5 M 1
25 43674 9 6 4 M 2
92 29575 3 1 2 F 4
128 56240 3 20 6 F 3
84 44378 4 9 6 M 4
135 56226 3 12 8 M 2
95 32505 1 0 7 M 1
98 35374 2 8 2 F 4
134 36471 1 6 4 M 2
54 25912 3 15 9 F 1
74 54821 6 18 6 M 4
182 31616 6 7 5 F 3
33 34987 6 9 2 F 4
