ID Salary Experience Employed Education Gender Department
89 57310 3 12 8 M 2
75 34881 16 22 7 M 1
139 67851 0 27 12 F 4
140 48548 3 20 4 M 4
134 36471 1 6 4 M 2
121 41612 16 22 7 M 1
34 28985 1 0 4 F 1
77 72369 3 22 10 M 4
138 26339 3 1 2 F 4
160 36996 4 5 4 M 4
86 27562 6 0 2 F 2
130 41142 4 9 6 M 4
165 53425 0 25 6 M 3
122 38514 4 21 5 M 1
117 43574 9 6 4 M 2
110 39551 6 18 5 F 1
47 68610 0 27 12 F 4
88 37555 1 6 4 M 2
17 36578 4 4 8 M 3
52 38610 2 8 2 F 4
116 29776 0 2 3 F 2
148 36595 2 6 6 M 4
33 34987 6 9 2 F 4
6 35487 2 8 2 F 4
133 49097 5 15 6 M 3
164 38436 7 18 9 M 1
72 31977 7 18 9 M 1
178 26701 6 0 2 F 2
173 37995 4 6 4 M 4
180 36694 1 6 4 M 2
49 25774 1 0 7 M 1
144 37851 2 8 2 F 4
109 38139 4 4 8 M 3
100 32643 3 15 9 F 1
29 41889 16 22 7 M 1
103 25215 0 0 0 F 3
161 48575 5 14 6 F 4
15 68425 2 25 12 M 4
102 34118 2 6 6 M 4
79 38110 6 9 2 F 4
73 54105 0 25 6 M 3
156 39279 6 18 5 F 1
70 30860 0 2 3 F 2
174 54870 3 20 6 F 3
30 38791 4 21 5 M 1
166 54062 6 18 6 M 4
136 32986 6 7 5 F 3
177 36554 4 9 4 F 2
82 55550 3 20 6 F 3
145 28912 1 5 0 M 4
