ID Salary Experience Employed Education Gender Department
80 21977 1 0 4 F 1
148 36595 2 6 6 M 4
109 38139 4 4 8 M 3
74 54821 6 18 6 M 4
75 34881 16 22 7 M 1
41 47536 5 15 6 M 3
103 25215 0 0 0 F 3
134 36471 1 6 4 M 2
121 41612 16 22 7 M 1
58 42454 3 9 6 F 4
164 38436 7 18 9 M 1
122 38514 4 21 5 M 1
173 37995 4 6 4 M 4
36 54679 3 20 6 F 3
71 44658 9 6 4 M 2
15 68425 2 25 12 M 4
132 26478 6 0 2 F 2
142 57263 5 12 8 F 4
115 46098 5 14 6 F 4
97 34756 5 7 4 F 4
161 48575 5 14 6 F 4
76 31783 4 21 5 M 1
19 36487 5 6 2 M 4
18 39828 6 18 5 F 1
81 38754 4 6 4 M 4
45 24749 2 6 0 F 1
17 36578 4 4 8 M 3
184 28816 3 1 2 F 4
140 48548 3 20 4 M 4
23 46211 5 14 6 F 4
176 43619 4 9 6 M 4
2 46184 3 20 4 M 4
93 65374 0 27 12 F 4
178 26701 6 0 2 F 2
55 22540 6 5 1 M 1
1 65487 0 27 12 F 4
155 36769 4 4 8 M 3
11 23654 0 0 0 F 3
162 29999 0 2 3 F 2
84 44378 4 9 6 M 4
170 51059 19 6 8 M 4
169 71610 3 22 10 M 4
46 26452 3 1 2 F 4
133 49097 5 15 6 M 3
3 32782 1 0 7 M 1
69 49334 5 14 6 F 4
166 54062 6 18 6 M 4
99 26435 1 5 0 M 4
79 38110 6 9 2 F 4
158 37739 9 19 4 M 3
