ID Salary Experience Employed Education Gender Department
121 41612 16 22 7 M 1
125 34874 6 9 2 F 4
146 32371 3 15 9 F 1
134 36471 1 6 4 M 2
166 54062 6 18 6 M 4
172 28436 1 0 4 F 1
40 26578 6 0 2 F 2
38 41255 4 9 6 M 4
81 38754 4 6 4 M 4
23 46211 5 14 6 F 4
47 68610 0 27 12 F 4
179 47727 5 15 6 M 3
22 34632 4 5 4 M 4
65 39610 5 6 2 M 4
37 39743 6 9 5 F 4
123 69133 3 22 10 M 4
120 51585 6 18 6 M 4
20 37548 9 19 4 M 3
89 57310 3 12 8 M 2
131 36331 4 9 4 F 2
74 54821 6 18 6 M 4
137 24472 2 6 0 F 1
107 68312 2 25 12 M 4
25 43674 9 6 4 M 2
39 36431 4 9 4 F 2
7 26548 1 5 0 M 4
128 56240 3 20 6 F 3
57 24525 0 0 0 F 3
94 46071 3 20 4 M 4
8 32920 3 15 9 F 1
175 42107 6 9 5 F 4
3 32782 1 0 7 M 1
140 48548 3 20 4 M 4
61 71548 2 25 12 M 4
149 23845 0 0 0 F 3
53 29671 1 5 0 M 4
92 29575 3 1 2 F 4
178 26701 6 0 2 F 2
100 32643 3 15 9 F 1
31 69246 3 22 10 M 4
168 38242 4 21 5 M 1
174 54870 3 20 6 F 3
27 53234 0 25 6 M 3
173 37995 4 6 4 M 4
170 51059 19 6 8 M 4
151 38876 6 6 4 F 4
126 28708 1 0 4 F 1
64 32820 6 18 5 F 1
59 39635 6 6 4 F 4
15 68425 2 25 12 M 4
