ID Salary Experience Employed Education Gender Department
133 49097 5 15 6 M 3
28 51698 6 18 6 M 4
16 35468 5 9 4 F 2
86 27562 6 0 2 F 2
89 57310 3 12 8 M 2
88 37555 1 6 4 M 2
93 65374 0 27 12 F 4
178 26701 6 0 2 F 2
46 26452 3 1 2 F 4
108 35368 5 9 4 F 2
26 38985 7 18 9 M 1
14 35467 6 3 6 F 2
82 55550 3 20 6 F 3
74 54821 6 18 6 M 4
181 56449 3 12 8 M 2
84 44378 4 9 6 M 4
50 58022 5 12 8 F 4
54 25912 3 15 9 F 1
99 26435 1 5 0 M 4
142 57263 5 12 8 F 4
2 46184 3 20 4 M 4
57 24525 0 0 0 F 3
48 49307 3 20 4 M 4
94 46071 3 20 4 M 4
96 54786 5 12 8 F 4
15 68425 2 25 12 M 4
62 36452 5 9 4 F 2
152 35590 6 3 6 F 2
70 30860 0 2 3 F 2
132 26478 6 0 2 F 2
103 25215 0 0 0 F 3
180 36694 1 6 4 M 2
182 31616 6 7 5 F 3
107 68312 2 25 12 M 4
166 54062 6 18 6 M 4
141 32233 1 0 7 M 1
9 29548 6 5 1 M 1
78 51818 19 6 8 M 4
106 35367 6 3 6 F 2
156 39279 6 18 5 F 1
40 26578 6 0 2 F 2
111 36374 5 6 2 M 4
30 38791 4 21 5 M 1
143 37233 5 7 4 F 4
20 37548 9 19 4 M 3
77 72369 3 22 10 M 4
184 28816 3 1 2 F 4
125 34874 6 9 2 F 4
4 54899 5 12 8 F 4
163 43797 9 6 4 M 2
