ID Salary Experience Employed Education Gender Department
143 37233 5 7 4 F 4
69 49334 5 14 6 F 4
114 34519 4 5 4 M 4
156 39279 6 18 5 F 1
46 26452 3 1 2 F 4
93 65374 0 27 12 F 4
11 23654 0 0 0 F 3
166 54062 6 18 6 M 4
73 54105 0 25 6 M 3
77 72369 3 22 10 M 4
142 57263 5 12 8 F 4
81 38754 4 6 4 M 4
62 36452 5 9 4 F 2
115 46098 5 14 6 F 4
158 37739 9 19 4 M 3
82 55550 3 20 6 F 3
178 26701 6 0 2 F 2
118 38708 7 18 9 M 1
134 36471 1 6 4 M 2
123 69133 3 22 10 M 4
9 29548 6 5 1 M 1
167 41340 16 22 7 M 1
132 26478 6 0 2 F 2
122 38514 4 21 5 M 1
101 29271 6 5 1 M 1
171 37351 6 9 2 F 4
155 36769 4 4 8 M 3
45 24749 2 6 0 F 1
176 43619 4 9 6 M 4
70 30860 0 2 3 F 2
148 36595 2 6 6 M 4
151 38876 6 6 4 F 4
13 36512 6 6 4 F 4
38 41255 4 9 6 M 4
102 34118 2 6 6 M 4
29 41889 16 22 7 M 1
164 38436 7 18 9 M 1
172 28436 1 0 4 F 1
63 37449 4 4 8 M 3
91 17741 2 6 0 F 1
110 39551 6 18 5 F 1
162 29999 0 2 3 F 2
5 34869 5 7 4 F 4
89 57310 3 12 8 M 2
2 46184 3 20 4 M 4
20 37548 9 19 4 M 3
120 51585 6 18 6 M 4
30 38791 4 21 5 M 1
153 70789 2 25 12 M 4
76 31783 4 21 5 M 1
