ID Salary Experience Employed Education Gender Department
133 49097 5 15 6 M 3
71 44658 9 6 4 M 2
170 51059 19 6 8 M 4
132 26478 6 0 2 F 2
151 38876 6 6 4 F 4
94 46071 3 20 4 M 4
33 34987 6 9 2 F 4
46 26452 3 1 2 F 4
146 32371 3 15 9 F 1
150 41695 3 9 6 F 4
81 38754 4 6 4 M 4
110 39551 6 18 5 F 1
138 26339 3 1 2 F 4
107 68312 2 25 12 M 4
153 70789 2 25 12 M 4
161 48575 5 14 6 F 4
32 48695 19 6 8 M 4
117 43574 9 6 4 M 2
30 38791 4 21 5 M 1
80 21977 1 0 4 F 1
126 28708 1 0 4 F 1
73 54105 0 25 6 M 3
75 34881 16 22 7 M 1
3 32782 1 0 7 M 1
103 25215 0 0 0 F 3
45 24749 2 6 0 F 1
102 34118 2 6 6 M 4
179 47727 5 15 6 M 3
108 35368 5 9 4 F 2
114 34519 4 5 4 M 4
10 34231 2 6 6 M 4
142 57263 5 12 8 F 4
166 54062 6 18 6 M 4
128 56240 3 20 6 F 3
15 68425 2 25 12 M 4
131 36331 4 9 4 F 2
154 35591 5 9 4 F 2
125 34874 6 9 2 F 4
123 69133 3 22 10 M 4
109 38139 4 4 8 M 3
16 35468 5 9 4 F 2
183 24200 2 6 0 F 1
96 54786 5 12 8 F 4
164 38436 7 18 9 M 1
162 29999 0 2 3 F 2
2 46184 3 20 4 M 4
48 49307 3 20 4 M 4
174 54870 3 20 6 F 3
31 69246 3 22 10 M 4
66 38419 9 19 4 M 3
