year inflation
1964 17.0724352164554
1965 7.59068366931587
1966 16.7281682748598
1967 8.32819136425947
1968 7.44753878317765
1969 6.98166307955373
1970 6.90862275848248
1971 11.9402616979216
1972 12.4444589907729
1973 22.5296486781842
1974 23.8709573656697
1975 23.4375025650554
1976 19.8312249167931
1977 33.802818357982
1978 17.7631590853462
1979 24.1340757440456
1980 26.5526531495356
1981 27.4537624347993
1982 24.7209882528586
1983 19.5973170624765
1984 16.1616171361426
1985 24.0901743681251
1986 18.8424631612405
1987 23.3020283640181
1988 28.1083969771704
1989 25.8675480831987
1990 29.1520245976216
1991 30.3878204854436
1992 27.010626623136
1993 22.4424828533276
1994 22.8462417553045
1995 20.8917930194849
1996 20.7975755127402
1997 18.4700217119089
1998 18.6769799276672
1999 10.873687085747
2000 9.22534818585368
2001 7.96556090304835
2002 6.3515072877887
2003 7.12978862941867
2004 5.90402005546497
2005 5.05101962689697
2006 4.29342363628925
2007 5.54438485815156
2008 6.99688495554508
2009 4.20251661216488
2010 2.27200227892008
2011 3.41503344776241
2012 3.16930188840063
2013 2.01699224310378
2014 2.89883787761738
2015 4.98983115849532
2016 7.51346024627683
2017 4.31431325695007
