ID Salary Experience Employed Education Gender Department
139 67851 0 27 12 F 4
71 44658 9 6 4 M 2
54 25912 3 15 9 F 1
146 32371 3 15 9 F 1
52 38610 2 8 2 F 4
65 39610 5 6 2 M 4
58 42454 3 9 6 F 4
80 21977 1 0 4 F 1
129 39630 6 9 5 F 4
158 37739 9 19 4 M 3
36 54679 3 20 6 F 3
75 34881 16 22 7 M 1
165 53425 0 25 6 M 3
14 35467 6 3 6 F 2
84 44378 4 9 6 M 4
18 39828 6 18 5 F 1
57 24525 0 0 0 F 3
32 48695 19 6 8 M 4
135 56226 3 12 8 M 2
49 25774 1 0 7 M 1
95 32505 1 0 7 M 1
6 35487 2 8 2 F 4
103 25215 0 0 0 F 3
89 57310 3 12 8 M 2
76 31783 4 21 5 M 1
180 36694 1 6 4 M 2
124 48582 19 6 8 M 4
46 26452 3 1 2 F 4
61 71548 2 25 12 M 4
82 55550 3 20 6 F 3
28 51698 6 18 6 M 4
55 22540 6 5 1 M 1
152 35590 6 3 6 F 2
4 54899 5 12 8 F 4
137 24472 2 6 0 F 1
5 34869 5 7 4 F 4
33 34987 6 9 2 F 4
102 34118 2 6 6 M 4
178 26701 6 0 2 F 2
117 43574 9 6 4 M 2
45 24749 2 6 0 F 1
112 39109 9 19 4 M 3
39 36431 4 9 4 F 2
34 28985 1 0 4 F 1
51 37992 5 7 4 F 4
101 29271 6 5 1 M 1
123 69133 3 22 10 M 4
44 31425 6 7 5 F 3
120 51585 6 18 6 M 4
153 70789 2 25 12 M 4
