ID Salary Experience Employed Education Gender Department
153 70789 2 25 12 M 4
44 31425 6 7 5 F 3
27 53234 0 25 6 M 3
113 31251 11 3 3 M 1
156 39279 6 18 5 F 1
107 68312 2 25 12 M 4
15 68425 2 25 12 M 4
98 35374 2 8 2 F 4
91 17741 2 6 0 F 1
18 39828 6 18 5 F 1
96 54786 5 12 8 F 4
37 39743 6 9 5 F 4
121 41612 16 22 7 M 1
3 32782 1 0 7 M 1
95 32505 1 0 7 M 1
168 38242 4 21 5 M 1
33 34987 6 9 2 F 4
132 26478 6 0 2 F 2
143 37233 5 7 4 F 4
64 32820 6 18 5 F 1
7 26548 1 5 0 M 4
66 38419 9 19 4 M 3
88 37555 1 6 4 M 2
131 36331 4 9 4 F 2
11 23654 0 0 0 F 3
171 37351 6 9 2 F 4
34 28985 1 0 4 F 1
14 35467 6 3 6 F 2
150 41695 3 9 6 F 4
80 21977 1 0 4 F 1
111 36374 5 6 2 M 4
123 69133 3 22 10 M 4
182 31616 6 7 5 F 3
118 38708 7 18 9 M 1
122 38514 4 21 5 M 1
166 54062 6 18 6 M 4
38 41255 4 9 6 M 4
152 35590 6 3 6 F 2
158 37739 9 19 4 M 3
4 54899 5 12 8 F 4
84 44378 4 9 6 M 4
100 32643 3 15 9 F 1
86 27562 6 0 2 F 2
174 54870 3 20 6 F 3
79 38110 6 9 2 F 4
51 37992 5 7 4 F 4
9 29548 6 5 1 M 1
105 36399 6 6 4 F 4
77 72369 3 22 10 M 4
75 34881 16 22 7 M 1
