ID Salary Experience Employed Education Gender Department
175 42107 6 9 5 F 4
67 24520 11 3 3 M 1
133 49097 5 15 6 M 3
184 28816 3 1 2 F 4
165 53425 0 25 6 M 3
28 51698 6 18 6 M 4
103 25215 0 0 0 F 3
22 34632 4 5 4 M 4
148 36595 2 6 6 M 4
94 46071 3 20 4 M 4
178 26701 6 0 2 F 2
21 31528 11 3 3 M 1
87 48407 5 15 6 M 3
66 38419 9 19 4 M 3
65 39610 5 6 2 M 4
151 38876 6 6 4 F 4
136 32986 6 7 5 F 3
154 35591 5 9 4 F 2
75 34881 16 22 7 M 1
36 54679 3 20 6 F 3
9 29548 6 5 1 M 1
134 36471 1 6 4 M 2
48 49307 3 20 4 M 4
145 28912 1 5 0 M 4
141 32233 1 0 7 M 1
62 36452 5 9 4 F 2
160 36996 4 5 4 M 4
37 39743 6 9 5 F 4
155 36769 4 4 8 M 3
176 43619 4 9 6 M 4
172 28436 1 0 4 F 1
85 37415 4 9 4 F 2
24 29876 0 2 3 F 2
102 34118 2 6 6 M 4
58 42454 3 9 6 F 4
29 41889 16 22 7 M 1
35 35631 4 6 4 M 4
82 55550 3 20 6 F 3
26 38985 7 18 9 M 1
40 26578 6 0 2 F 2
123 69133 3 22 10 M 4
119 54795 0 25 6 M 3
153 70789 2 25 12 M 4
177 36554 4 9 4 F 2
55 22540 6 5 1 M 1
4 54899 5 12 8 F 4
109 38139 4 4 8 M 3
56 37354 2 6 6 M 4
78 51818 19 6 8 M 4
68 37755 4 5 4 M 4
