ID Salary Experience Employed Education Gender Department
163 43797 9 6 4 M 2
119 54795 0 25 6 M 3
88 37555 1 6 4 M 2
150 41695 3 9 6 F 4
133 49097 5 15 6 M 3
47 68610 0 27 12 F 4
96 54786 5 12 8 F 4
79 38110 6 9 2 F 4
67 24520 11 3 3 M 1
130 41142 4 9 6 M 4
149 23845 0 0 0 F 3
144 37851 2 8 2 F 4
24 29876 0 2 3 F 2
61 71548 2 25 12 M 4
58 42454 3 9 6 F 4
6 35487 2 8 2 F 4
66 38419 9 19 4 M 3
52 38610 2 8 2 F 4
84 44378 4 9 6 M 4
102 34118 2 6 6 M 4
114 34519 4 5 4 M 4
155 36769 4 4 8 M 3
172 28436 1 0 4 F 1
72 31977 7 18 9 M 1
18 39828 6 18 5 F 1
53 29671 1 5 0 M 4
162 29999 0 2 3 F 2
50 58022 5 12 8 F 4
109 38139 4 4 8 M 3
83 42866 6 9 5 F 4
143 37233 5 7 4 F 4
48 49307 3 20 4 M 4
41 47536 5 15 6 M 3
87 48407 5 15 6 M 3
26 38985 7 18 9 M 1
12 39331 3 9 6 F 4
105 36399 6 6 4 F 4
51 37992 5 7 4 F 4
27 53234 0 25 6 M 3
112 39109 9 19 4 M 3
97 34756 5 7 4 F 4
55 22540 6 5 1 M 1
75 34881 16 22 7 M 1
116 29776 0 2 3 F 2
2 46184 3 20 4 M 4
62 36452 5 9 4 F 2
8 32920 3 15 9 F 1
86 27562 6 0 2 F 2
32 48695 19 6 8 M 4
179 47727 5 15 6 M 3
