ID Salary Experience Employed Education Gender Department
161 48575 5 14 6 F 4
121 41612 16 22 7 M 1
97 34756 5 7 4 F 4
163 43797 9 6 4 M 2
137 24472 2 6 0 F 1
55 22540 6 5 1 M 1
98 35374 2 8 2 F 4
16 35468 5 9 4 F 2
129 39630 6 9 5 F 4
83 42866 6 9 5 F 4
32 48695 19 6 8 M 4
142 57263 5 12 8 F 4
130 41142 4 9 6 M 4
120 51585 6 18 6 M 4
81 38754 4 6 4 M 4
66 38419 9 19 4 M 3
67 24520 11 3 3 M 1
170 51059 19 6 8 M 4
21 31528 11 3 3 M 1
114 34519 4 5 4 M 4
68 37755 4 5 4 M 4
77 72369 3 22 10 M 4
96 54786 5 12 8 F 4
39 36431 4 9 4 F 2
1 65487 0 27 12 F 4
54 25912 3 15 9 F 1
100 32643 3 15 9 F 1
13 36512 6 6 4 F 4
92 29575 3 1 2 F 4
75 34881 16 22 7 M 1
38 41255 4 9 6 M 4
8 32920 3 15 9 F 1
87 48407 5 15 6 M 3
51 37992 5 7 4 F 4
14 35467 6 3 6 F 2
108 35368 5 9 4 F 2
106 35367 6 3 6 F 2
149 23845 0 0 0 F 3
22 34632 4 5 4 M 4
17 36578 4 4 8 M 3
28 51698 6 18 6 M 4
49 25774 1 0 7 M 1
177 36554 4 9 4 F 2
143 37233 5 7 4 F 4
160 36996 4 5 4 M 4
43 56326 3 12 8 M 2
63 37449 4 4 8 M 3
124 48582 19 6 8 M 4
180 36694 1 6 4 M 2
168 38242 4 21 5 M 1
