ID Salary Experience Employed Education Gender Department
152 35590 6 3 6 F 2
53 29671 1 5 0 M 4
89 57310 3 12 8 M 2
178 26701 6 0 2 F 2
175 42107 6 9 5 F 4
88 37555 1 6 4 M 2
18 39828 6 18 5 F 1
147 28999 6 5 1 M 1
13 36512 6 6 4 F 4
21 31528 11 3 3 M 1
113 31251 11 3 3 M 1
8 32920 3 15 9 F 1
43 56326 3 12 8 M 2
73 54105 0 25 6 M 3
158 37739 9 19 4 M 3
129 39630 6 9 5 F 4
172 28436 1 0 4 F 1
65 39610 5 6 2 M 4
114 34519 4 5 4 M 4
162 29999 0 2 3 F 2
36 54679 3 20 6 F 3
169 71610 3 22 10 M 4
75 34881 16 22 7 M 1
183 24200 2 6 0 F 1
107 68312 2 25 12 M 4
22 34632 4 5 4 M 4
138 26339 3 1 2 F 4
93 65374 0 27 12 F 4
81 38754 4 6 4 M 4
97 34756 5 7 4 F 4
57 24525 0 0 0 F 3
154 35591 5 9 4 F 2
85 37415 4 9 4 F 2
140 48548 3 20 4 M 4
157 38851 5 6 2 M 4
82 55550 3 20 6 F 3
12 39331 3 9 6 F 4
7 26548 1 5 0 M 4
25 43674 9 6 4 M 2
24 29876 0 2 3 F 2
173 37995 4 6 4 M 4
177 36554 4 9 4 F 2
44 31425 6 7 5 F 3
130 41142 4 9 6 M 4
10 34231 2 6 6 M 4
23 46211 5 14 6 F 4
69 49334 5 14 6 F 4
26 38985 7 18 9 M 1
94 46071 3 20 4 M 4
98 35374 2 8 2 F 4
