ID Salary Experience Employed Education Gender Department
184 28816 3 1 2 F 4
77 72369 3 22 10 M 4
56 37354 2 6 6 M 4
12 39331 3 9 6 F 4
156 39279 6 18 5 F 1
179 47727 5 15 6 M 3
166 54062 6 18 6 M 4
9 29548 6 5 1 M 1
71 44658 9 6 4 M 2
93 65374 0 27 12 F 4
76 31783 4 21 5 M 1
60 36451 6 3 6 F 2
14 35467 6 3 6 F 2
81 38754 4 6 4 M 4
73 54105 0 25 6 M 3
109 38139 4 4 8 M 3
180 36694 1 6 4 M 2
57 24525 0 0 0 F 3
20 37548 9 19 4 M 3
128 56240 3 20 6 F 3
49 25774 1 0 7 M 1
30 38791 4 21 5 M 1
25 43674 9 6 4 M 2
44 31425 6 7 5 F 3
112 39109 9 19 4 M 3
32 48695 19 6 8 M 4
178 26701 6 0 2 F 2
98 35374 2 8 2 F 4
79 38110 6 9 2 F 4
8 32920 3 15 9 F 1
59 39635 6 6 4 F 4
132 26478 6 0 2 F 2
163 43797 9 6 4 M 2
171 37351 6 9 2 F 4
145 28912 1 5 0 M 4
99 26435 1 5 0 M 4
39 36431 4 9 4 F 2
18 39828 6 18 5 F 1
64 32820 6 18 5 F 1
182 31616 6 7 5 F 3
103 25215 0 0 0 F 3
23 46211 5 14 6 F 4
119 54795 0 25 6 M 3
121 41612 16 22 7 M 1
26 38985 7 18 9 M 1
48 49307 3 20 4 M 4
174 54870 3 20 6 F 3
136 32986 6 7 5 F 3
167 41340 16 22 7 M 1
133 49097 5 15 6 M 3
