ID Salary Experience Employed Education Gender Department
66 38419 9 19 4 M 3
26 38985 7 18 9 M 1
146 32371 3 15 9 F 1
7 26548 1 5 0 M 4
32 48695 19 6 8 M 4
140 48548 3 20 4 M 4
120 51585 6 18 6 M 4
48 49307 3 20 4 M 4
172 28436 1 0 4 F 1
96 54786 5 12 8 F 4
170 51059 19 6 8 M 4
122 38514 4 21 5 M 1
160 36996 4 5 4 M 4
19 36487 5 6 2 M 4
8 32920 3 15 9 F 1
53 29671 1 5 0 M 4
9 29548 6 5 1 M 1
183 24200 2 6 0 F 1
153 70789 2 25 12 M 4
106 35367 6 3 6 F 2
57 24525 0 0 0 F 3
10 34231 2 6 6 M 4
113 31251 11 3 3 M 1
44 31425 6 7 5 F 3
155 36769 4 4 8 M 3
110 39551 6 18 5 F 1
158 37739 9 19 4 M 3
5 34869 5 7 4 F 4
166 54062 6 18 6 M 4
85 37415 4 9 4 F 2
80 21977 1 0 4 F 1
174 54870 3 20 6 F 3
121 41612 16 22 7 M 1
64 32820 6 18 5 F 1
45 24749 2 6 0 F 1
72 31977 7 18 9 M 1
152 35590 6 3 6 F 2
84 44378 4 9 6 M 4
33 34987 6 9 2 F 4
116 29776 0 2 3 F 2
131 36331 4 9 4 F 2
95 32505 1 0 7 M 1
163 43797 9 6 4 M 2
79 38110 6 9 2 F 4
126 28708 1 0 4 F 1
34 28985 1 0 4 F 1
37 39743 6 9 5 F 4
132 26478 6 0 2 F 2
107 68312 2 25 12 M 4
87 48407 5 15 6 M 3
