ID Salary Experience Employed Education Gender Department
166 54062 6 18 6 M 4
164 38436 7 18 9 M 1
103 25215 0 0 0 F 3
123 69133 3 22 10 M 4
136 32986 6 7 5 F 3
118 38708 7 18 9 M 1
114 34519 4 5 4 M 4
15 68425 2 25 12 M 4
95 32505 1 0 7 M 1
14 35467 6 3 6 F 2
117 43574 9 6 4 M 2
154 35591 5 9 4 F 2
74 54821 6 18 6 M 4
84 44378 4 9 6 M 4
55 22540 6 5 1 M 1
149 23845 0 0 0 F 3
104 39218 3 9 6 F 4
64 32820 6 18 5 F 1
99 26435 1 5 0 M 4
66 38419 9 19 4 M 3
32 48695 19 6 8 M 4
18 39828 6 18 5 F 1
129 39630 6 9 5 F 4
34 28985 1 0 4 F 1
30 38791 4 21 5 M 1
24 29876 0 2 3 F 2
92 29575 3 1 2 F 4
97 34756 5 7 4 F 4
41 47536 5 15 6 M 3
68 37755 4 5 4 M 4
178 26701 6 0 2 F 2
161 48575 5 14 6 F 4
112 39109 9 19 4 M 3
73 54105 0 25 6 M 3
145 28912 1 5 0 M 4
126 28708 1 0 4 F 1
65 39610 5 6 2 M 4
167 41340 16 22 7 M 1
51 37992 5 7 4 F 4
25 43674 9 6 4 M 2
67 24520 11 3 3 M 1
20 37548 9 19 4 M 3
179 47727 5 15 6 M 3
57 24525 0 0 0 F 3
75 34881 16 22 7 M 1
45 24749 2 6 0 F 1
79 38110 6 9 2 F 4
176 43619 4 9 6 M 4
143 37233 5 7 4 F 4
52 38610 2 8 2 F 4
