ID Salary Experience Employed Education Gender Department
144 37851 2 8 2 F 4
111 36374 5 6 2 M 4
60 36451 6 3 6 F 2
148 36595 2 6 6 M 4
133 49097 5 15 6 M 3
115 46098 5 14 6 F 4
155 36769 4 4 8 M 3
68 37755 4 5 4 M 4
88 37555 1 6 4 M 2
58 42454 3 9 6 F 4
80 21977 1 0 4 F 1
61 71548 2 25 12 M 4
123 69133 3 22 10 M 4
182 31616 6 7 5 F 3
161 48575 5 14 6 F 4
74 54821 6 18 6 M 4
78 51818 19 6 8 M 4
116 29776 0 2 3 F 2
97 34756 5 7 4 F 4
22 34632 4 5 4 M 4
113 31251 11 3 3 M 1
23 46211 5 14 6 F 4
90 32296 6 7 5 F 3
8 32920 3 15 9 F 1
19 36487 5 6 2 M 4
18 39828 6 18 5 F 1
70 30860 0 2 3 F 2
39 36431 4 9 4 F 2
141 32233 1 0 7 M 1
55 22540 6 5 1 M 1
79 38110 6 9 2 F 4
118 38708 7 18 9 M 1
67 24520 11 3 3 M 1
59 39635 6 6 4 F 4
100 32643 3 15 9 F 1
106 35367 6 3 6 F 2
152 35590 6 3 6 F 2
54 25912 3 15 9 F 1
25 43674 9 6 4 M 2
168 38242 4 21 5 M 1
139 67851 0 27 12 F 4
169 71610 3 22 10 M 4
126 28708 1 0 4 F 1
140 48548 3 20 4 M 4
183 24200 2 6 0 F 1
103 25215 0 0 0 F 3
143 37233 5 7 4 F 4
125 34874 6 9 2 F 4
157 38851 5 6 2 M 4
16 35468 5 9 4 F 2
