ID Salary Experience Employed Education Gender Department
58 42454 3 9 6 F 4
68 37755 4 5 4 M 4
18 39828 6 18 5 F 1
86 27562 6 0 2 F 2
4 54899 5 12 8 F 4
15 68425 2 25 12 M 4
67 24520 11 3 3 M 1
183 24200 2 6 0 F 1
46 26452 3 1 2 F 4
74 54821 6 18 6 M 4
2 46184 3 20 4 M 4
26 38985 7 18 9 M 1
119 54795 0 25 6 M 3
43 56326 3 12 8 M 2
1 65487 0 27 12 F 4
107 68312 2 25 12 M 4
57 24525 0 0 0 F 3
113 31251 11 3 3 M 1
95 32505 1 0 7 M 1
164 38436 7 18 9 M 1
140 48548 3 20 4 M 4
130 41142 4 9 6 M 4
111 36374 5 6 2 M 4
89 57310 3 12 8 M 2
47 68610 0 27 12 F 4
41 47536 5 15 6 M 3
84 44378 4 9 6 M 4
181 56449 3 12 8 M 2
25 43674 9 6 4 M 2
158 37739 9 19 4 M 3
125 34874 6 9 2 F 4
11 23654 0 0 0 F 3
114 34519 4 5 4 M 4
178 26701 6 0 2 F 2
160 36996 4 5 4 M 4
70 30860 0 2 3 F 2
60 36451 6 3 6 F 2
141 32233 1 0 7 M 1
81 38754 4 6 4 M 4
155 36769 4 4 8 M 3
52 38610 2 8 2 F 4
129 39630 6 9 5 F 4
174 54870 3 20 6 F 3
91 17741 2 6 0 F 1
156 39279 6 18 5 F 1
21 31528 11 3 3 M 1
20 37548 9 19 4 M 3
77 72369 3 22 10 M 4
90 32296 6 7 5 F 3
3 32782 1 0 7 M 1
