ID Salary Experience Employed Education Gender Department
117 43574 9 6 4 M 2
73 54105 0 25 6 M 3
118 38708 7 18 9 M 1
106 35367 6 3 6 F 2
171 37351 6 9 2 F 4
32 48695 19 6 8 M 4
90 32296 6 7 5 F 3
141 32233 1 0 7 M 1
179 47727 5 15 6 M 3
93 65374 0 27 12 F 4
42 36571 1 6 4 M 2
26 38985 7 18 9 M 1
164 38436 7 18 9 M 1
155 36769 4 4 8 M 3
2 46184 3 20 4 M 4
152 35590 6 3 6 F 2
61 71548 2 25 12 M 4
9 29548 6 5 1 M 1
23 46211 5 14 6 F 4
84 44378 4 9 6 M 4
159 30979 11 3 3 M 1
96 54786 5 12 8 F 4
3 32782 1 0 7 M 1
125 34874 6 9 2 F 4
154 35591 5 9 4 F 2
112 39109 9 19 4 M 3
83 42866 6 9 5 F 4
7 26548 1 5 0 M 4
39 36431 4 9 4 F 2
124 48582 19 6 8 M 4
146 32371 3 15 9 F 1
157 38851 5 6 2 M 4
76 31783 4 21 5 M 1
66 38419 9 19 4 M 3
31 69246 3 22 10 M 4
60 36451 6 3 6 F 2
148 36595 2 6 6 M 4
169 71610 3 22 10 M 4
162 29999 0 2 3 F 2
184 28816 3 1 2 F 4
166 54062 6 18 6 M 4
87 48407 5 15 6 M 3
98 35374 2 8 2 F 4
122 38514 4 21 5 M 1
58 42454 3 9 6 F 4
6 35487 2 8 2 F 4
137 24472 2 6 0 F 1
16 35468 5 9 4 F 2
11 23654 0 0 0 F 3
33 34987 6 9 2 F 4
