ID Salary Experience Employed Education Gender Department
158 37739 9 19 4 M 3
44 31425 6 7 5 F 3
137 24472 2 6 0 F 1
127 35518 4 6 4 M 4
6 35487 2 8 2 F 4
92 29575 3 1 2 F 4
167 41340 16 22 7 M 1
96 54786 5 12 8 F 4
79 38110 6 9 2 F 4
103 25215 0 0 0 F 3
175 42107 6 9 5 F 4
143 37233 5 7 4 F 4
116 29776 0 2 3 F 2
15 68425 2 25 12 M 4
180 36694 1 6 4 M 2
62 36452 5 9 4 F 2
37 39743 6 9 5 F 4
86 27562 6 0 2 F 2
9 29548 6 5 1 M 1
142 57263 5 12 8 F 4
90 32296 6 7 5 F 3
65 39610 5 6 2 M 4
17 36578 4 4 8 M 3
3 32782 1 0 7 M 1
100 32643 3 15 9 F 1
111 36374 5 6 2 M 4
123 69133 3 22 10 M 4
112 39109 9 19 4 M 3
34 28985 1 0 4 F 1
78 51818 19 6 8 M 4
122 38514 4 21 5 M 1
173 37995 4 6 4 M 4
165 53425 0 25 6 M 3
98 35374 2 8 2 F 4
69 49334 5 14 6 F 4
176 43619 4 9 6 M 4
57 24525 0 0 0 F 3
130 41142 4 9 6 M 4
94 46071 3 20 4 M 4
30 38791 4 21 5 M 1
178 26701 6 0 2 F 2
172 28436 1 0 4 F 1
184 28816 3 1 2 F 4
75 34881 16 22 7 M 1
108 35368 5 9 4 F 2
147 28999 6 5 1 M 1
8 32920 3 15 9 F 1
171 37351 6 9 2 F 4
22 34632 4 5 4 M 4
12 39331 3 9 6 F 4
