ID Salary Experience Employed Education Gender Department
68 37755 4 5 4 M 4
7 26548 1 5 0 M 4
179 47727 5 15 6 M 3
56 37354 2 6 6 M 4
168 38242 4 21 5 M 1
173 37995 4 6 4 M 4
158 37739 9 19 4 M 3
167 41340 16 22 7 M 1
2 46184 3 20 4 M 4
10 34231 2 6 6 M 4
181 56449 3 12 8 M 2
170 51059 19 6 8 M 4
138 26339 3 1 2 F 4
141 32233 1 0 7 M 1
88 37555 1 6 4 M 2
104 39218 3 9 6 F 4
72 31977 7 18 9 M 1
77 72369 3 22 10 M 4
37 39743 6 9 5 F 4
165 53425 0 25 6 M 3
36 54679 3 20 6 F 3
119 54795 0 25 6 M 3
154 35591 5 9 4 F 2
159 30979 11 3 3 M 1
174 54870 3 20 6 F 3
144 37851 2 8 2 F 4
98 35374 2 8 2 F 4
38 41255 4 9 6 M 4
78 51818 19 6 8 M 4
155 36769 4 4 8 M 3
61 71548 2 25 12 M 4
6 35487 2 8 2 F 4
24 29876 0 2 3 F 2
39 36431 4 9 4 F 2
62 36452 5 9 4 F 2
180 36694 1 6 4 M 2
71 44658 9 6 4 M 2
31 69246 3 22 10 M 4
15 68425 2 25 12 M 4
28 51698 6 18 6 M 4
101 29271 6 5 1 M 1
70 30860 0 2 3 F 2
44 31425 6 7 5 F 3
95 32505 1 0 7 M 1
97 34756 5 7 4 F 4
156 39279 6 18 5 F 1
64 32820 6 18 5 F 1
166 54062 6 18 6 M 4
123 69133 3 22 10 M 4
116 29776 0 2 3 F 2
